,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,,Team,Start Date,End Date
58,MG Johnson,1,1,7.0,2,27,3,3/27,9.0,3.85,14.0,0,0,,Australia,2015-01-01,2015-02-01
59,GS Sandhu,2,2,20.0,0,107,3,2/49,35.66,5.35,40.0,0,0,,Australia,2015-01-01,2015-02-01
60,PJ Cummins,3,3,29.0,1,168,2,1/42,84.0,5.79,87.0,0,0,,Australia,2015-01-01,2015-02-01
61,JR Hazlewood,2,2,11.1,2,38,2,2/13,19.0,3.4,33.5,0,0,,Australia,2015-01-01,2015-02-01
62,XJ Doherty,2,2,13.0,0,48,1,1/38,48.0,3.69,78.0,0,0,,Australia,2015-01-01,2015-02-01
63,MC Henriques,1,1,7.0,0,34,1,1/34,34.0,4.85,42.0,0,0,,Australia,2015-01-01,2015-02-01
64,MR Marsh,2,2,10.0,0,39,1,1/21,39.0,3.9,60.0,0,0,,Australia,2015-01-01,2015-02-01
65,AJ Finch,5,1,0.3,0,3,0,,,6.0,,0,0,,Australia,2015-01-01,2015-02-01
66,SR Watson,2,2,12.0,0,56,0,,,4.66,,0,0,,Australia,2015-01-01,2015-02-01
67,GJ Bailey,4,,,,,,,,,,,,,Australia,2015-01-01,2015-02-01
68,BJ Haddin,5,,,,,,,,,,,,,Australia,2015-01-01,2015-02-01
69,SE Marsh,1,,,,,,,,,,,,,Australia,2015-01-01,2015-02-01
70,SPD Smith,5,,,,,,,,,,,,,Australia,2015-01-01,2015-02-01
71,DA Warner,4,,,,,,,,,,,,,Australia,2015-01-01,2015-02-01
72,CL White,1,,,,,,,,,,,,,Australia,2015-01-01,2015-02-01
73,Aftab Alam,3,3,21.2,2,90,5,3/48,18.0,4.21,25.6,0,0,,Afghanistan,2015-01-01,2015-02-01
74,Hamid Hassan,3,3,23.3,1,99,5,3/24,19.8,4.21,28.2,0,0,,Afghanistan,2015-01-01,2015-02-01
75,Javed Ahmadi,4,2,18.0,0,65,5,4/37,13.0,3.61,21.6,1,0,,Afghanistan,2015-01-01,2015-02-01
76,Mirwais Ashraf,4,4,34.0,3,133,5,2/39,26.6,3.91,40.8,0,0,,Afghanistan,2015-01-01,2015-02-01
77,Mohammad Nabi,4,4,37.0,0,156,4,2/39,39.0,4.21,55.5,0,0,,Afghanistan,2015-01-01,2015-02-01
78,Dawlat Zadran,3,3,16.0,1,98,3,3/41,32.66,6.12,32.0,0,0,,Afghanistan,2015-01-01,2015-02-01
79,Gulbadin Naib,2,2,9.0,0,48,2,1/21,24.0,5.33,27.0,0,0,,Afghanistan,2015-01-01,2015-02-01
80,Samiullah Shinwari,3,3,12.0,0,55,2,2/24,27.5,4.58,36.0,0,0,,Afghanistan,2015-01-01,2015-02-01
81,Izatullah Dawlatzai,1,1,10.0,1,39,0,,,3.9,,0,0,,Afghanistan,2015-01-01,2015-02-01
82,Nasir Jamal,2,1,1.0,0,7,0,,,7.0,,0,0,,Afghanistan,2015-01-01,2015-02-01
83,Afsar Zazai,4,,,,,,,,,,,,,Afghanistan,2015-01-01,2015-02-01
84,Asghar Afghan,3,,,,,,,,,,,,,Afghanistan,2015-01-01,2015-02-01
85,Najibullah Zadran,4,,,,,,,,,,,,,Afghanistan,2015-01-01,2015-02-01
86,Usman Ghani,4,,,,,,,,,,,,,Afghanistan,2015-01-01,2015-02-01
87,Imran Tahir,3,3,23.4,0,118,8,4/28,14.75,4.98,17.7,1,0,,South Africa,2015-01-01,2015-02-01
88,VD Philander,3,3,24.0,2,140,8,3/27,17.5,5.83,18.0,0,0,,South Africa,2015-01-01,2015-02-01
89,DW Steyn,3,3,21.2,2,77,6,3/27,12.83,3.6,21.3,0,0,,South Africa,2015-01-01,2015-02-01
90,WD Parnell,2,2,19.0,0,90,5,4/42,18.0,4.73,22.8,1,0,,South Africa,2015-01-01,2015-02-01
91,F Behardien,5,4,17.4,0,105,4,2/21,26.25,5.94,26.5,0,0,,South Africa,2015-01-01,2015-02-01
92,M Morkel,4,4,31.0,1,163,4,2/43,40.75,5.25,46.5,0,0,,South Africa,2015-01-01,2015-02-01
93,KJ Abbott,2,2,16.3,1,121,2,2/59,60.5,7.33,49.5,0,0,,South Africa,2015-01-01,2015-02-01
94,JP Duminy,5,4,19.0,0,104,2,2/29,52.0,5.47,57.0,0,0,,South Africa,2015-01-01,2015-02-01
95,M de Lange,1,1,8.0,0,34,1,1/34,34.0,4.25,48.0,0,0,,South Africa,2015-01-01,2015-02-01
96,AM Phangiso,2,2,18.0,1,94,1,1/53,94.0,5.22,108.0,0,0,,South Africa,2015-01-01,2015-02-01
97,HM Amla,4,,,,,,,,,,,,,South Africa,2015-01-01,2015-02-01
