,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,,Team,Start Date,End Date
1346,AL Phehlukwayo,1,1,7.0,1,35,2,2/35,17.5,5.0,21.0,0,0,,South Africa,2017-03-01,2017-04-01
1347,CH Morris,2,2,18.0,0,88,1,1/34,88.0,4.88,108.0,0,0,,South Africa,2017-03-01,2017-04-01
1348,JP Duminy,2,1,3.0,0,26,0,,,8.66,,0,0,,South Africa,2017-03-01,2017-04-01
1349,WD Parnell,1,1,7.0,1,44,0,,,6.28,,0,0,,South Africa,2017-03-01,2017-04-01
1350,D Pretorius,2,2,16.0,0,91,0,,,5.68,,0,0,,South Africa,2017-03-01,2017-04-01
1351,HM Amla,2,,,,,,,,,,,,,South Africa,2017-03-01,2017-04-01
1352,Q de Kock,2,,,,,,,,,,,,,South Africa,2017-03-01,2017-04-01
1353,AB de Villiers,2,,,,,,,,,,,,,South Africa,2017-03-01,2017-04-01
1354,F du Plessis,2,,,,,,,,,,,,,South Africa,2017-03-01,2017-04-01
1355,DA Miller,2,,,,,,,,,,,,,South Africa,2017-03-01,2017-04-01
1356,Hasan Ali,3,3,19.5,2,110,6,5/38,18.33,5.54,19.8,0,1,,Pakistan,2017-04-01,2017-05-01
1357,Mohammad Amir,3,3,25.0,1,136,5,2/41,27.2,5.44,30.0,0,0,,Pakistan,2017-04-01,2017-05-01
1358,Shadab Khan,3,3,27.0,1,149,5,2/52,29.8,5.51,32.4,0,0,,Pakistan,2017-04-01,2017-05-01
1359,Junaid Khan,2,2,16.0,0,101,3,2/60,33.66,6.31,32.0,0,0,,Pakistan,2017-04-01,2017-05-01
1360,Mohammad Hafeez,3,3,21.0,0,79,3,2/23,26.33,3.76,42.0,0,0,,Pakistan,2017-04-01,2017-05-01
1361,Imad Wasim,3,3,20.0,1,74,1,1/24,74.0,3.7,120.0,0,0,,Pakistan,2017-04-01,2017-05-01
1362,Wahab Riaz,1,1,9.0,0,69,1,1/69,69.0,7.66,54.0,0,0,,Pakistan,2017-04-01,2017-05-01
1363,Shoaib Malik,3,1,6.0,0,24,0,,,4.0,,0,0,,Pakistan,2017-04-01,2017-05-01
1364,Ahmed Shehzad,3,,,,,,,,,,,,,Pakistan,2017-04-01,2017-05-01
1365,Babar Azam,3,,,,,,,,,,,,,Pakistan,2017-04-01,2017-05-01
1366,Kamran Akmal,3,,,,,,,,,,,,,Pakistan,2017-04-01,2017-05-01
1367,Sarfaraz Ahmed,3,,,,,,,,,,,,,Pakistan,2017-04-01,2017-05-01
1368,Mashrafe Mortaza,1,1,10.0,0,65,3,3/65,21.66,6.5,20.0,0,0,,Bangladesh,2017-04-01,2017-05-01
1369,Mustafizur Rahman,1,1,10.0,0,55,2,2/55,27.5,5.5,30.0,0,0,,Bangladesh,2017-04-01,2017-05-01
1370,Mehidy Hasan Miraz,1,1,10.0,1,49,1,1/49,49.0,4.9,60.0,0,0,,Bangladesh,2017-04-01,2017-05-01
1371,Taskin Ahmed,1,1,8.0,1,50,1,1/50,50.0,6.25,48.0,0,0,,Bangladesh,2017-04-01,2017-05-01
1372,Mahmudullah,1,1,1.0,0,5,0,,,5.0,,0,0,,Bangladesh,2017-04-01,2017-05-01
1373,Mosaddek Hossain,1,1,3.0,0,13,0,,,4.33,,0,0,,Bangladesh,2017-04-01,2017-05-01
1374,Shakib Al Hasan,1,1,8.0,0,41,0,,,5.12,,0,0,,Bangladesh,2017-04-01,2017-05-01
1375,Mushfiqur Rahim,1,,,,,,,,,,,,,Bangladesh,2017-04-01,2017-05-01
1376,Sabbir Rahman,1,,,,,,,,,,,,,Bangladesh,2017-04-01,2017-05-01
1377,Soumya Sarkar,1,,,,,,,,,,,,,Bangladesh,2017-04-01,2017-05-01
1378,Tamim Iqbal,1,,,,,,,,,,,,,Bangladesh,2017-04-01,2017-05-01
1379,Mustafizur Rahman,5,4,37.0,3,153,7,4/23,21.85,4.13,31.7,1,0,,Bangladesh,2017-05-01,2017-06-01
1380,Mashrafe Mortaza,4,4,33.0,1,184,6,2/18,30.66,5.57,33.0,0,0,,Bangladesh,2017-05-01,2017-06-01
1381,Rubel Hossain,5,4,38.0,1,214,3,2/53,71.33,5.63,76.0,0,0,,Bangladesh,2017-05-01,2017-06-01
1382,Shakib Al Hasan,5,4,35.0,1,191,3,2/41,63.66,5.45,70.0,0,0,,Bangladesh,2017-05-01,2017-06-01
1383,Nasir Hossain,1,1,9.0,0,47,2,2/47,23.5,5.22,27.0,0,0,,Bangladesh,2017-05-01,2017-06-01
1384,Sunzamul Islam,1,1,5.0,0,22,2,2/22,11.0,4.4,15.0,0,0,,Bangladesh,2017-05-01,2017-06-01
1385,Mosaddek Hossain,5,4,19.2,0,89,1,1/21,89.0,4.6,116.0,0,0,,Bangladesh,2017-05-01,2017-06-01
1386,Sabbir Rahman,5,1,1.0,0,13,1,1/13,13.0,13.0,6.0,0,0,,Bangladesh,2017-05-01,2017-06-01
1387,Mahmudullah,5,2,4.0,0,21,0,,,5.25,,0,0,,Bangladesh,2017-05-01,2017-06-01
1388,Mehidy Hasan Miraz,2,1,8.0,0,45,0,,,5.62,,0,0,,Bangladesh,2017-05-01,2017-06-01
1389,Soumya Sarkar,5,1,2.0,0,13,0,,,6.5,,0,0,,Bangladesh,2017-05-01,2017-06-01
1390,Imrul Kayes,1,,,,,,,,,,,,,Bangladesh,2017-05-01,2017-06-01
1391,Mushfiqur Rahim,5,,,,,,,,,,,,,Bangladesh,2017-05-01,2017-06-01
1392,Tamim Iqbal,5,,,,,,,,,,,,,Bangladesh,2017-05-01,2017-06-01
1393,Taskin Ahmed,1,,,,,,,,,,,,,Bangladesh,2017-05-01,2017-06-01
1394,MJ Santner,4,4,37.0,1,166,8,5/50,20.75,4.48,27.7,0,1,,New Zealand,2017-05-01,2017-06-01
1395,SC Kuggeleijn,2,2,14.0,2,58,5,3/41,11.6,4.14,16.8,0,0,,New Zealand,2017-05-01,2017-06-01
1396,HK Bennett,2,2,19.2,1,78,4,3/31,19.5,4.03,29.0,0,0,,New Zealand,2017-05-01,2017-06-01
1397,IS Sodhi,3,3,25.3,1,105,4,2/40,26.25,4.11,38.2,0,0,,New Zealand,2017-05-01,2017-06-01
1398,MJ Henry,2,2,18.0,1,85,3,3/36,28.33,4.72,36.0,0,0,,New Zealand,2017-05-01,2017-06-01
1399,CJ Anderson,2,2,9.0,0,52,2,2/15,26.0,5.77,27.0,0,0,,New Zealand,2017-05-01,2017-06-01
1400,JDS Neesham,3,3,19.0,0,133,2,2/68,66.5,7.0,57.0,0,0,,New Zealand,2017-05-01,2017-06-01
1401,JS Patel,1,1,10.0,0,55,2,2/55,27.5,5.5,30.0,0,0,,New Zealand,2017-05-01,2017-06-01
1402,AF Milne,1,1,8.0,1,29,1,1/29,29.0,3.62,48.0,0,0,,New Zealand,2017-05-01,2017-06-01
1403,SHA Rance,2,2,17.3,1,110,1,1/44,110.0,6.28,105.0,0,0,,New Zealand,2017-05-01,2017-06-01
1404,C Munro,4,2,6.0,0,30,0,,,5.0,,0,0,,New Zealand,2017-05-01,2017-06-01
1405,NT Broom,4,,,,,,,,,,,,,New Zealand,2017-05-01,2017-06-01
1406,TWM Latham,4,,,,,,,,,,,,,New Zealand,2017-05-01,2017-06-01
1407,L Ronchi,4,,,,,,,,,,,,,New Zealand,2017-05-01,2017-06-01
1408,LRPL Taylor,4,,,,,,,,,,,,,New Zealand,2017-05-01,2017-06-01
1409,GH Worker,2,,,,,,,,,,,,,New Zealand,2017-05-01,2017-06-01
1410,LE Plunkett,5,5,40.0,0,202,11,4/59,18.36,5.05,21.8,1,0,,England,2017-05-01,2017-06-01
1411,AU Rashid,5,4,34.0,0,205,8,5/27,25.62,6.02,25.5,0,1,,England,2017-05-01,2017-06-01
1412,JT Ball,5,5,42.0,1,260,5,2/43,52.0,6.19,50.4,0,0,,England,2017-05-01,2017-06-01
1413,JE Root,6,5,22.0,0,101,5,3/52,20.2,4.59,26.4,0,0,,England,2017-05-01,2017-06-01
1414,CR Woakes,2,2,10.0,1,42,4,4/38,10.5,4.2,15.0,1,0,,England,2017-05-01,2017-06-01
1415,MA Wood,5,5,40.1,1,216,4,2/38,54.0,5.37,60.2,0,0,,England,2017-05-01,2017-06-01
1416,MM Ali,3,3,25.0,1,149,3,2/50,49.66,5.96,50.0,0,0,,England,2017-05-01,2017-06-01
1417,BA Stokes,3,3,12.0,0,68,2,1/12,34.0,5.66,36.0,0,0,,England,2017-05-01,2017-06-01
1418,TS Roland-Jones,1,1,7.0,2,34,1,1/34,34.0,4.85,42.0,0,0,,England,2017-05-01,2017-06-01
1419,DJ Willey,3,3,13.5,0,100,1,1/34,100.0,7.22,83.0,0,0,,England,2017-05-01,2017-06-01
1420,ST Finn,1,1,7.0,1,35,0,,,5.0,,0,0,,England,2017-05-01,2017-06-01
1421,JM Bairstow,3,,,,,,,,,,,,,England,2017-05-01,2017-06-01
1422,SW Billings,2,,,,,,,,,,,,,England,2017-05-01,2017-06-01
1423,JC Buttler,4,,,,,,,,,,,,,England,2017-05-01,2017-06-01
1424,AD Hales,6,,,,,,,,,,,,,England,2017-05-01,2017-06-01
1425,EJG Morgan,6,,,,,,,,,,,,,England,2017-05-01,2017-06-01
1426,JJ Roy,6,,,,,,,,,,,,,England,2017-05-01,2017-06-01
1427,K Rabada,3,3,28.0,1,152,7,4/39,21.71,5.42,24.0,1,0,,South Africa,2017-05-01,2017-06-01
1428,KA Maharaj,2,2,16.1,0,97,4,3/25,24.25,6.0,24.2,0,0,,South Africa,2017-05-01,2017-06-01
1429,WD Parnell,2,2,15.0,0,90,4,3/43,22.5,6.0,22.5,0,0,,South Africa,2017-05-01,2017-06-01
1430,AL Phehlukwayo,2,2,19.0,1,133,3,2/59,44.33,7.0,38.0,0,0,,South Africa,2017-05-01,2017-06-01
1431,CH Morris,3,3,24.0,1,156,2,2/61,78.0,6.5,72.0,0,0,,South Africa,2017-05-01,2017-06-01
1432,D Pretorius,1,1,10.0,0,61,1,1/61,61.0,6.1,60.0,0,0,,South Africa,2017-05-01,2017-06-01
1433,JP Duminy,2,1,6.0,0,34,0,,,5.66,,0,0,,South Africa,2017-05-01,2017-06-01
1434,Imran Tahir,1,1,9.0,0,68,0,,,7.55,,0,0,,South Africa,2017-05-01,2017-06-01
1435,M Morkel,1,1,4.0,0,15,0,,,3.75,,0,0,,South Africa,2017-05-01,2017-06-01
1436,HM Amla,3,,,,,,,,,,,,,South Africa,2017-05-01,2017-06-01
1437,F Behardien,1,,,,,,,,,,,,,South Africa,2017-05-01,2017-06-01
1438,Q de Kock,3,,,,,,,,,,,,,South Africa,2017-05-01,2017-06-01
1439,AB de Villiers,3,,,,,,,,,,,,,South Africa,2017-05-01,2017-06-01
1440,F du Plessis,3,,,,,,,,,,,,,South Africa,2017-05-01,2017-06-01
1441,DA Miller,3,,,,,,,,,,,,,South Africa,2017-05-01,2017-06-01
1442,B Kumar,8,7,52.3,5,225,9,2/9,25.0,4.28,35.0,0,0,,India,2017-06-01,2017-07-01
1443,Kuldeep Yadav,3,2,19.0,1,91,6,3/41,15.16,4.78,19.0,0,0,,India,2017-06-01,2017-07-01
1444,HH Pandya,8,7,54.0,1,297,6,2/32,49.5,5.5,54.0,0,0,,India,2017-06-01,2017-07-01
1445,R Ashwin,6,5,48.0,1,242,5,3/28,48.4,5.04,57.6,0,0,,India,2017-06-01,2017-07-01
1446,JJ Bumrah,5,5,42.0,1,210,4,2/28,52.5,5.0,63.0,0,0,,India,2017-06-01,2017-07-01
1447,RA Jadeja,5,5,42.0,0,249,4,2/43,62.25,5.92,63.0,0,0,,India,2017-06-01,2017-07-01
1448,KM Jadhav,8,4,12.1,0,67,4,2/22,16.75,5.5,18.2,0,0,,India,2017-06-01,2017-07-01
1449,UT Yadav,5,4,30.2,1,165,4,3/30,41.25,5.43,45.5,0,0,,India,2017-06-01,2017-07-01
1450,V Kohli,8,1,3.0,0,17,0,,,5.66,,0,0,,India,2017-06-01,2017-07-01
1451,Yuvraj Singh,8,1,5.0,0,25,0,,,5.0,,0,0,,India,2017-06-01,2017-07-01
1452,S Dhawan,8,,,,,,,,,,,,,India,2017-06-01,2017-07-01
1453,MS Dhoni,8,,,,,,,,,,,,,India,2017-06-01,2017-07-01
1454,AM Rahane,3,,,,,,,,,,,,,India,2017-06-01,2017-07-01
1455,RG Sharma,5,,,,,,,,,,,,,India,2017-06-01,2017-07-01
1456,Hasan Ali,5,5,44.3,2,191,13,3/19,14.69,4.29,20.5,0,0,,Pakistan,2017-06-01,2017-07-01
1457,Junaid Khan,4,4,33.5,4,155,8,3/40,19.37,4.58,25.3,0,0,,Pakistan,2017-06-01,2017-07-01
1458,Mohammad Amir,4,4,34.1,3,151,5,3/16,30.2,4.41,41.0,0,0,,Pakistan,2017-06-01,2017-07-01
1459,Shadab Khan,4,4,31.0,0,172,4,2/60,43.0,5.54,46.5,0,0,,Pakistan,2017-06-01,2017-07-01
1460,Faheem Ashraf,1,1,6.2,0,37,2,2/37,18.5,5.84,19.0,0,0,,Pakistan,2017-06-01,2017-07-01
1461,Imad Wasim,5,5,30.4,1,138,2,2/20,69.0,4.5,92.0,0,0,,Pakistan,2017-06-01,2017-07-01
1462,Rumman Raees,1,1,9.0,0,44,2,2/44,22.0,4.88,27.0,0,0,,Pakistan,2017-06-01,2017-07-01
1463,Mohammad Hafeez,5,4,24.0,0,121,1,1/51,121.0,5.04,144.0,0,0,,Pakistan,2017-06-01,2017-07-01
1464,Fakhar Zaman,4,1,3.3,0,25,0,,,7.14,,0,0,,Pakistan,2017-06-01,2017-07-01
1465,Shoaib Malik,5,1,2.0,0,10,0,,,5.0,,0,0,,Pakistan,2017-06-01,2017-07-01
1466,Wahab Riaz,1,1,8.4,0,87,0,,,10.03,,0,0,,Pakistan,2017-06-01,2017-07-01
1467,Ahmed Shehzad,1,,,,,,,,,,,,,Pakistan,2017-06-01,2017-07-01
1468,Azhar Ali,5,,,,,,,,,,,,,Pakistan,2017-06-01,2017-07-01
1469,Babar Azam,5,,,,,,,,,,,,,Pakistan,2017-06-01,2017-07-01
1470,Sarfaraz Ahmed,5,,,,,,,,,,,,,Pakistan,2017-06-01,2017-07-01
1471,Mosaddek Hossain,3,3,12.2,0,73,3,3/13,24.33,5.91,24.6,0,0,,Bangladesh,2017-06-01,2017-07-01
1472,Mashrafe Mortaza,4,4,34.0,1,160,2,1/29,80.0,4.7,102.0,0,0,,Bangladesh,2017-06-01,2017-07-01
1473,Rubel Hossain,4,4,30.0,0,191,2,1/21,95.5,6.36,90.0,0,0,,Bangladesh,2017-06-01,2017-07-01
1474,Taskin Ahmed,2,2,15.0,0,92,2,2/43,46.0,6.13,45.0,0,0,,Bangladesh,2017-06-01,2017-07-01
1475,Mustafizur Rahman,4,4,29.0,0,183,1,1/52,183.0,6.31,174.0,0,0,,Bangladesh,2017-06-01,2017-07-01
1476,Sabbir Rahman,4,2,2.1,0,24,1,1/13,24.0,11.07,13.0,0,0,,Bangladesh,2017-06-01,2017-07-01
1477,Mahmudullah,4,1,1.0,0,10,0,,,10.0,,0,0,,Bangladesh,2017-06-01,2017-07-01
1478,Mehidy Hasan Miraz,1,1,1.0,0,4,0,,,4.0,,0,0,,Bangladesh,2017-06-01,2017-07-01
1479,Shakib Al Hasan,4,3,27.0,0,168,0,,,6.22,,0,0,,Bangladesh,2017-06-01,2017-07-01
1480,Soumya Sarkar,4,1,2.0,0,13,0,,,6.5,,0,0,,Bangladesh,2017-06-01,2017-07-01
1481,Imrul Kayes,2,,,,,,,,,,,,,Bangladesh,2017-06-01,2017-07-01
1482,Mushfiqur Rahim,4,,,,,,,,,,,,,Bangladesh,2017-06-01,2017-07-01
1483,Tamim Iqbal,4,,,,,,,,,,,,,Bangladesh,2017-06-01,2017-07-01
1484,AF Milne,3,3,21.2,0,146,6,3/79,24.33,6.84,21.3,0,0,,New Zealand,2017-06-01,2017-07-01
1485,TG Southee,3,3,21.3,1,104,5,3/45,20.8,4.83,25.8,0,0,,New Zealand,2017-06-01,2017-07-01
1486,CJ Anderson,3,2,12.0,0,74,3,3/55,24.66,6.16,24.0,0,0,,New Zealand,2017-06-01,2017-07-01
1487,TA Boult,3,3,24.0,0,132,3,1/28,44.0,5.5,48.0,0,0,,New Zealand,2017-06-01,2017-07-01
1488,MJ Santner,3,2,18.0,0,101,1,1/54,101.0,5.61,108.0,0,0,,New Zealand,2017-06-01,2017-07-01
1489,JDS Neesham,3,2,7.0,0,47,0,,,6.71,,0,0,,New Zealand,2017-06-01,2017-07-01
1490,KS Williamson,3,1,2.0,0,19,0,,,9.5,,0,0,,New Zealand,2017-06-01,2017-07-01
1491,NT Broom,3,,,,,,,,,,,,,New Zealand,2017-06-01,2017-07-01
1492,MJ Guptill,3,,,,,,,,,,,,,New Zealand,2017-06-01,2017-07-01
1493,L Ronchi,3,,,,,,,,,,,,,New Zealand,2017-06-01,2017-07-01
1494,LRPL Taylor,3,,,,,,,,,,,,,New Zealand,2017-06-01,2017-07-01
1495,LE Plunkett,4,4,33.3,0,196,8,4/55,24.5,5.85,25.1,2,0,,England,2017-06-01,2017-07-01
1496,AU Rashid,3,3,30.0,1,142,7,4/41,20.28,4.73,25.7,1,0,,England,2017-06-01,2017-07-01
1497,MA Wood,4,4,37.0,3,160,5,4/33,32.0,4.32,44.4,1,0,,England,2017-06-01,2017-07-01
1498,JT Ball,4,4,35.0,4,211,4,2/31,52.75,6.02,52.5,0,0,,England,2017-06-01,2017-07-01
1499,BA Stokes,4,4,26.1,0,187,3,1/42,62.33,7.14,52.3,0,0,,England,2017-06-01,2017-07-01
1500,MM Ali,4,3,15.0,1,79,0,,,5.26,,0,0,,England,2017-06-01,2017-07-01
1501,JE Root,4,1,3.0,0,18,0,,,6.0,,0,0,,England,2017-06-01,2017-07-01
1502,CR Woakes,1,1,2.0,1,4,0,,,2.0,,0,0,,England,2017-06-01,2017-07-01
1503,JM Bairstow,1,,,,,,,,,,,,,England,2017-06-01,2017-07-01
1504,JC Buttler,4,,,,,,,,,,,,,England,2017-06-01,2017-07-01
1505,AD Hales,4,,,,,,,,,,,,,England,2017-06-01,2017-07-01
1506,EJG Morgan,4,,,,,,,,,,,,,England,2017-06-01,2017-07-01
1507,JJ Roy,3,,,,,,,,,,,,,England,2017-06-01,2017-07-01
1508,JR Hazlewood,3,3,28.0,0,142,9,6/52,15.77,5.07,18.6,0,1,,Australia,2017-06-01,2017-07-01
1509,MA Starc,3,3,27.3,2,133,5,4/29,26.6,4.83,33.0,1,0,,Australia,2017-06-01,2017-07-01
1510,PJ Cummins,3,3,25.0,2,144,2,1/22,72.0,5.76,75.0,0,0,,Australia,2017-06-01,2017-07-01
1511,JW Hastings,1,1,9.0,0,69,2,2/69,34.5,7.66,27.0,0,0,,Australia,2017-06-01,2017-07-01
1512,A Zampa,2,2,12.2,1,65,2,2/13,32.5,5.27,37.0,0,0,,Australia,2017-06-01,2017-07-01
1513,TM Head,3,3,14.0,0,64,1,1/33,64.0,4.57,84.0,0,0,,Australia,2017-06-01,2017-07-01
1514,MC Henriques,3,3,11.0,0,61,1,1/30,61.0,5.54,66.0,0,0,,Australia,2017-06-01,2017-07-01
1515,GJ Maxwell,3,2,3.0,0,23,0,,,7.66,,0,0,,Australia,2017-06-01,2017-07-01
1516,AJ Finch,3,,,,,,,,,,,,,Australia,2017-06-01,2017-07-01
1517,SPD Smith,3,,,,,,,,,,,,,Australia,2017-06-01,2017-07-01
1518,MS Wade,3,,,,,,,,,,,,,Australia,2017-06-01,2017-07-01
1519,DA Warner,3,,,,,,,,,,,,,Australia,2017-06-01,2017-07-01
1520,Rashid Khan,3,2,18.4,2,44,10,7/18,4.4,2.35,11.2,0,1,,Afghanistan,2017-06-01,2017-07-01
1521,Gulbadin Naib,3,2,13.0,1,46,3,2/15,15.33,3.53,26.0,0,0,,Afghanistan,2017-06-01,2017-07-01
1522,Dawlat Zadran,3,2,15.2,2,72,2,2/25,36.0,4.69,46.0,0,0,,Afghanistan,2017-06-01,2017-07-01
1523,Mohammad Nabi,3,2,20.0,0,67,1,1/33,67.0,3.35,120.0,0,0,,Afghanistan,2017-06-01,2017-07-01
1524,Amir Hamza,2,2,16.0,0,43,0,,,2.68,,0,0,,Afghanistan,2017-06-01,2017-07-01
1525,Samiullah Shinwari,2,1,1.0,0,11,0,,,11.0,,0,0,,Afghanistan,2017-06-01,2017-07-01
1526,Afsar Zazai,3,,,,,,,,,,,,,Afghanistan,2017-06-01,2017-07-01
1527,Asghar Afghan,3,,,,,,,,,,,,,Afghanistan,2017-06-01,2017-07-01
1528,Fareed Ahmad,1,,,,,,,,,,,,,Afghanistan,2017-06-01,2017-07-01
1529,Javed Ahmadi,3,,,,,,,,,,,,,Afghanistan,2017-06-01,2017-07-01
1530,Nasir Jamal,1,,,,,,,,,,,,,Afghanistan,2017-06-01,2017-07-01
1531,Noor Ali Zadran,3,,,,,,,,,,,,,Afghanistan,2017-06-01,2017-07-01
1532,Rahmat Shah,3,,,,,,,,,,,,,Afghanistan,2017-06-01,2017-07-01
1533,Imran Tahir,3,3,18.3,0,80,5,4/27,16.0,4.32,22.2,1,0,,South Africa,2017-06-01,2017-07-01
1534,M Morkel,3,3,20.0,2,87,5,3/18,17.4,4.35,24.0,0,0,,South Africa,2017-06-01,2017-07-01
1535,CH Morris,3,3,20.0,1,94,2,2/32,47.0,4.7,60.0,0,0,,South Africa,2017-06-01,2017-07-01
1536,K Rabada,3,3,24.0,4,116,1,1/46,116.0,4.83,144.0,0,0,,South Africa,2017-06-01,2017-07-01
1537,JP Duminy,3,2,5.0,0,24,0,,,4.8,,0,0,,South Africa,2017-06-01,2017-07-01
1538,WD Parnell,2,2,14.0,0,79,0,,,5.64,,0,0,,South Africa,2017-06-01,2017-07-01
1539,AL Phehlukwayo,1,1,5.0,0,25,0,,,5.0,,0,0,,South Africa,2017-06-01,2017-07-01
1540,HM Amla,3,,,,,,,,,,,,,South Africa,2017-06-01,2017-07-01
1541,Q de Kock,3,,,,,,,,,,,,,South Africa,2017-06-01,2017-07-01
1542,AB de Villiers,3,,,,,,,,,,,,,South Africa,2017-06-01,2017-07-01
1543,F du Plessis,3,,,,,,,,,,,,,South Africa,2017-06-01,2017-07-01
1544,DA Miller,3,,,,,,,,,,,,,South Africa,2017-06-01,2017-07-01
1545,UT Yadav,2,2,20.0,2,89,6,3/36,14.83,4.45,20.0,0,0,,India,2017-07-01,2017-08-01
1546,Mohammed Shami,2,2,20.0,2,81,4,4/48,20.25,4.05,30.0,1,0,,India,2017-07-01,2017-08-01
1547,HH Pandya,2,2,16.0,0,67,4,3/40,16.75,4.18,24.0,0,0,,India,2017-07-01,2017-08-01
1548,Kuldeep Yadav,2,2,20.0,1,67,2,2/31,33.5,3.35,60.0,0,0,,India,2017-07-01,2017-08-01
1549,KM Jadhav,2,1,4.0,0,13,1,1/13,13.0,3.25,24.0,0,0,,India,2017-07-01,2017-08-01
1550,RA Jadeja,2,2,20.0,1,75,0,,,3.75,,0,0,,India,2017-07-01,2017-08-01
1551,S Dhawan,2,,,,,,,,,,,,,India,2017-07-01,2017-08-01
1552,MS Dhoni,2,,,,,,,,,,,,,India,2017-07-01,2017-08-01
1553,KD Karthik,2,,,,,,,,,,,,,India,2017-07-01,2017-08-01
1554,V Kohli,2,,,,,,,,,,,,,India,2017-07-01,2017-08-01
1555,AM Rahane,2,,,,,,,,,,,,,India,2017-07-01,2017-08-01
1556,JJ Bumrah,4,4,33.2,4,124,13,5/27,9.53,3.72,15.3,1,1,,India,2017-08-01,2017-09-01
1557,AR Patel,4,4,40.0,1,154,6,3/34,25.66,3.85,40.0,0,0,,India,2017-08-01,2017-09-01
1558,YS Chahal,3,3,30.0,1,152,4,2/43,38.0,5.06,45.0,0,0,,India,2017-08-01,2017-09-01
1559,HH Pandya,4,4,27.2,0,151,4,2/50,37.75,5.52,41.0,0,0,,India,2017-08-01,2017-09-01
1560,KM Jadhav,3,3,12.4,0,70,3,2/26,23.33,5.52,25.3,0,0,,India,2017-08-01,2017-09-01
1561,Kuldeep Yadav,1,1,8.4,1,31,2,2/31,15.5,3.57,26.0,0,0,,India,2017-08-01,2017-09-01
1562,SN Thakur,1,1,7.0,0,26,1,1/26,26.0,3.71,42.0,0,0,,India,2017-08-01,2017-09-01
1563,V Kohli,4,1,2.0,0,12,0,,,6.0,,0,0,,India,2017-08-01,2017-09-01
1564,B Kumar,3,3,25.0,2,127,0,,,5.08,,0,0,,India,2017-08-01,2017-09-01
1565,S Dhawan,4,,,,,,,,,,,,,India,2017-08-01,2017-09-01
1566,MS Dhoni,4,,,,,,,,,,,,,India,2017-08-01,2017-09-01
1567,MK Pandey,1,,,,,,,,,,,,,India,2017-08-01,2017-09-01
1568,KL Rahul,4,,,,,,,,,,,,,India,2017-08-01,2017-09-01
1569,RG Sharma,4,,,,,,,,,,,,,India,2017-08-01,2017-09-01
1570,B Kumar,5,5,37.5,2,168,10,5/42,16.8,4.44,22.7,0,1,,India,2017-09-01,2017-10-01
1571,Kuldeep Yadav,5,5,44.0,2,250,8,3/54,31.25,5.68,33.0,0,0,,India,2017-09-01,2017-10-01
1572,JJ Bumrah,5,5,41.0,3,207,7,2/45,29.57,5.04,35.1,0,0,,India,2017-09-01,2017-10-01
1573,YS Chahal,5,5,43.0,1,208,7,3/30,29.71,4.83,36.8,0,0,,India,2017-09-01,2017-10-01
1574,HH Pandya,5,5,31.0,0,188,6,2/28,31.33,6.06,31.0,0,0,,India,2017-09-01,2017-10-01
1575,UT Yadav,1,1,10.0,0,71,4,4/71,17.75,7.1,15.0,1,0,,India,2017-09-01,2017-10-01
1576,AR Patel,2,2,20.0,0,104,3,3/38,34.66,5.2,40.0,0,0,,India,2017-09-01,2017-10-01
1577,KM Jadhav,6,3,21.0,0,106,2,1/38,53.0,5.04,63.0,0,0,,India,2017-09-01,2017-10-01
1578,Mohammed Shami,1,1,10.0,1,62,0,,,6.2,,0,0,,India,2017-09-01,2017-10-01
1579,SN Thakur,1,1,6.0,0,48,0,,,8.0,,0,0,,India,2017-09-01,2017-10-01
1580,MS Dhoni,6,,,,,,,,,,,,,India,2017-09-01,2017-10-01
1581,V Kohli,6,,,,,,,,,,,,,India,2017-09-01,2017-10-01
1582,MK Pandey,6,,,,,,,,,,,,,India,2017-09-01,2017-10-01
1583,AM Rahane,6,,,,,,,,,,,,,India,2017-09-01,2017-10-01
1584,RG Sharma,6,,,,,,,,,,,,,India,2017-09-01,2017-10-01
1585,LE Plunkett,5,4,36.1,0,215,8,5/52,26.87,5.94,27.1,0,1,,England,2017-09-01,2017-10-01
1586,AU Rashid,5,4,35.0,1,174,7,3/34,24.85,4.97,30.0,0,0,,England,2017-09-01,2017-10-01
1587,CR Woakes,4,3,25.0,1,144,5,3/71,28.8,5.76,30.0,0,0,,England,2017-09-01,2017-10-01
1588,BA Stokes,3,2,13.0,0,68,3,3/43,22.66,5.23,26.0,0,0,,England,2017-09-01,2017-10-01
1589,MM Ali,5,4,31.0,1,176,2,1/5,88.0,5.67,93.0,0,0,,England,2017-09-01,2017-10-01
1590,DJ Willey,3,2,10.0,0,73,2,1/34,36.5,7.3,30.0,0,0,,England,2017-09-01,2017-10-01
1591,JT Ball,2,2,20.0,1,162,1,1/94,162.0,8.1,120.0,0,0,,England,2017-09-01,2017-10-01
1592,TK Curran,1,1,10.0,1,62,1,1/62,62.0,6.2,60.0,0,0,,England,2017-09-01,2017-10-01
1593,JE Root,5,1,1.0,0,10,0,,,10.0,,0,0,,England,2017-09-01,2017-10-01
1594,JM Bairstow,5,,,,,,,,,,,,,England,2017-09-01,2017-10-01
1595,SW Billings,2,,,,,,,,,,,,,England,2017-09-01,2017-10-01
