player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,economy_rate,average
EA Osborne,Bowler,151,82.06521739130434,184,35,769,1026,509,0,509,236,273,2,Sri Lanka,0.7495126705653021,21.97142857142857
GW Flower,Bowler,627,65.10903426791276,963,12,459,613,160,0,160,96,64,2,South Africa,0.7487765089722676,38.25
Ammar Khalid,Bowler,0,0.0,0,6,152,203,23,0,23,3,20,0,United Arab Emirates,0.7487684729064039,25.333333333333332
CJ Metcalfe,Bowler,21,38.88888888888889,54,5,268,358,499,0,499,233,266,0,Sri Lanka,0.7486033519553073,53.6
EM Bermingham,Bowler,94,87.85046728971963,107,15,533,712,529,0,529,369,160,0,Australia,0.7485955056179775,35.53333333333333
PP Ojha,Bowler,46,40.35087719298245,114,21,660,882,153,0,153,56,97,0,Bangladesh,0.7482993197278912,31.428571428571427
Akif Raja,Bowler,0,0.0,0,4,175,234,33,0,33,15,18,0,Oman,0.7478632478632479,43.75
Bismah Maroof,Bowler,1938,63.27130264446621,3063,12,498,666,420,0,420,219,201,2,New Zealand,0.7477477477477478,41.5
Sabahat Rasheed,Bowler,2,66.66666666666666,3,1,68,91,232,0,232,146,86,0,South Africa,0.7472527472527473,68.0
Ehsan Khan,Bowler,100,43.66812227074236,229,23,531,711,101,0,101,54,47,0,Scotland,0.7468354430379747,23.08695652173913
DNT Zoysa,Bowler,36,65.45454545454545,55,23,560,750,235,0,235,99,136,1,West Indies,0.7466666666666667,24.347826086956523
Panna Ghosh,Bowler,85,41.06280193236715,207,5,265,355,461,0,461,286,175,0,South Africa,0.7464788732394366,53.0
B Regmi,Bowler,12,40.0,30,2,50,67,84,0,84,28,56,0,United Arab Emirates,0.746268656716418,25.0
GC Tonge,Bowler,10,62.5,16,6,229,307,135,0,135,53,82,0,Bangladesh,0.745928338762215,38.166666666666664
CA Soper,Bowler,653,55.38592027141645,1179,67,1774,2380,15,0,15,5,10,2,Hong Kong,0.7453781512605042,26.47761194029851
NW Bracken,Bowler,174,65.66037735849056,265,168,3792,5095,2,0,2,0,2,3,ICC World XI,0.7442590775269873,22.571428571428573
S Lamichhane,Bowler,440,88.0,500,120,2185,2942,84,0,84,28,56,4,United Arab Emirates,0.7426920462270564,18.208333333333332
HMRKB Herath,Bowler,140,61.135371179039296,229,79,2263,3053,197,0,197,101,96,0,Pakistan,0.7412381264330167,28.645569620253166
A Reddy,Bowler,21,48.837209302325576,43,8,200,270,353,0,353,248,105,0,Australia,0.7407407407407407,25.0
D Langford-Smith,Bowler,79,94.04761904761905,84,10,362,489,306,0,306,158,148,0,England,0.7402862985685071,36.2
K Sinclair,Bowler,38,58.46153846153847,65,11,287,388,309,0,309,158,151,1,New Zealand,0.7396907216494846,26.09090909090909
S Dhaniram,Bowler,281,88.92405063291139,316,23,408,552,287,0,287,152,135,2,England,0.7391304347826086,17.73913043478261
AV Lalcheta,Bowler,18,36.734693877551024,49,2,62,84,85,0,85,48,37,0,Scotland,0.7380952380952381,31.0
RDM Leverock,Bowler,45,37.1900826446281,121,13,448,607,301,0,301,154,147,0,Sri Lanka,0.7380560131795717,34.46153846153846
Harbhajan Singh,Bowler,917,79.94768962510898,1147,190,5930,8045,237,0,237,99,138,3,West Indies,0.7371037911746426,31.210526315789473
EA Perry,Bowler,3356,78.22843822843822,4290,83,2352,3198,459,0,459,284,175,16,South Africa,0.7354596622889306,28.337349397590362
D Brown,Bowler,4,40.0,10,25,678,922,405,0,405,213,192,2,England,0.735357917570499,27.12
Nashra Sandhu,Bowler,89,27.55417956656347,323,87,2413,3282,456,0,456,284,172,0,South Africa,0.7352224253503961,27.735632183908045
H Osinde,Bowler,11,32.35294117647059,34,25,543,739,230,0,230,119,111,1,New Zealand,0.7347767253044655,21.72
Nadeem Ahmed,Bowler,55,41.66666666666667,132,26,655,893,101,0,101,54,47,0,Scotland,0.7334826427771557,25.192307692307693
VC Drakes,Bowler,58,46.774193548387096,124,18,465,634,123,0,123,92,31,0,Australia,0.7334384858044164,25.833333333333332
Kashif Daud,Bowler,282,88.67924528301887,318,17,495,676,126,0,126,47,79,2,Ireland,0.7322485207100592,29.11764705882353
DE Budge,Bowler,237,76.20578778135048,311,1,112,153,59,0,59,26,33,0,United States of America,0.7320261437908496,112.0
Sami Faridi,Bowler,16,61.53846153846154,26,0,27,37,1,0,1,1,0,0,Bermuda,0.7297297297297297,
T Mufudza,Bowler,1,11.11111111111111,9,1,75,103,354,0,354,182,172,0,Sri Lanka,0.7281553398058253,75.0
K Ramharack,Bowler,107,44.03292181069959,243,32,886,1218,433,0,433,230,203,1,England,0.7274220032840722,27.6875
AJ Bichel,Bowler,258,88.65979381443299,291,33,943,1297,73,0,73,35,38,1,West Indies,0.7270624518118736,28.575757575757574
J Drysdale,Bowler,2,33.33333333333333,6,4,101,139,33,0,33,10,23,0,Netherlands,0.7266187050359713,25.25
Sadia Yousuf,Bowler,10,10.204081632653061,98,36,938,1292,420,0,420,219,201,0,New Zealand,0.7260061919504643,26.055555555555557
CM Wright,Bowler,81,55.86206896551724,145,8,230,317,321,0,321,223,98,0,Australia,0.7255520504731862,28.75
Abrar Ahmed,Bowler,4,200.0,2,11,158,218,286,0,286,177,109,0,South Africa,0.7247706422018348,14.363636363636363
D Mohammed,Bowler,0,0.0,2,10,171,236,173,0,173,35,138,0,Zimbabwe,0.7245762711864406,17.1
GJ Rennie,Bowler,50,39.0625,128,3,65,90,73,0,73,33,40,0,Pakistan,0.7222222222222222,21.666666666666668
DI Allan,Bowler,18,37.5,48,0,13,18,29,0,29,11,18,0,Ireland,0.7222222222222222,
Bilal Asif,Bowler,40,76.92307692307693,52,5,96,133,16,0,16,14,2,1,England,0.7218045112781954,19.2
