player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,average
Aaditya Varadarajan,Batter,36,54.54545454545454,66,0,0,0,40,40,0,12,28,0,Canada,
JO Troughton,Batter,36,46.75324675324675,77,0,0,0,96,96,0,49,47,0,England,
RWT Key,Batter,36,34.285714285714285,105,0,0,0,70,70,0,37,33,0,England,
Rehan Ahmed,Batter,35,72.91666666666666,48,11,233,282,356,356,0,185,171,0,England,3.1818181818181817
O Kamchomphu,Batter,35,57.377049180327866,61,15,162,349,9,9,0,8,1,0,Thailand,2.3333333333333335
NA Greenwood,Batter,35,50.72463768115942,69,0,0,0,4,4,0,1,3,0,Jersey,
JNT Vare,Batter,35,49.29577464788733,71,0,0,0,59,59,0,10,49,0,Papua New Guinea,
A Dalzell,Batter,35,49.29577464788733,71,4,262,286,103,103,0,38,65,0,Ireland,8.75
C McAuslan,Batter,35,47.2972972972973,74,0,0,0,12,12,0,3,9,0,Hong Kong,
J van Vliet,Batter,35,41.66666666666667,84,0,0,0,71,71,0,24,47,0,Netherlands,
JH Stander,Batter,34,80.95238095238095,42,2,82,73,19,19,0,6,13,0,Scotland,17.0
Abdul Shakoor,Batter,34,51.515151515151516,66,0,0,0,84,84,0,28,56,0,United Arab Emirates,
RMS Eranga,Batter,34,50.0,68,22,664,701,179,179,0,85,94,0,Sri Lanka,1.5454545454545454
LDVV Silva,Batter,34,44.73684210526316,76,0,0,0,257,257,0,128,129,0,Sri Lanka,
RP Alexander,Batter,34,41.9753086419753,81,0,0,0,2,2,0,0,2,0,United States of America,
TL Seifert,Batter,33,117.85714285714286,28,0,0,0,366,366,0,188,178,0,New Zealand,
Ayesha Naseem,Batter,33,82.5,40,0,0,0,360,360,0,185,175,0,Pakistan,
HM Tiffen,Batter,33,80.48780487804879,41,0,0,0,204,204,0,106,98,0,New Zealand,
A Aitken-Drummond,Batter,33,68.75,48,0,0,0,33,33,0,13,20,0,Scotland,
Mohammad Iqbal,Batter,33,58.92857142857143,56,0,0,0,25,25,0,5,20,0,Canada,
PRP Boissevain,Batter,33,57.89473684210527,57,1,192,133,84,84,0,24,60,0,Netherlands,33.0
PARP Perera,Batter,33,54.09836065573771,61,0,0,0,449,449,0,219,230,0,Sri Lanka,
JAH Marshall,Batter,33,39.285714285714285,84,0,0,0,241,241,0,128,113,0,New Zealand,
J Overton,Batter,32,145.45454545454547,22,1,17,26,313,313,0,161,152,0,England,32.0
DO Leicher,Batter,32,103.2258064516129,31,1,56,57,8,8,0,1,7,0,Namibia,32.0
D Cleaver,Batter,32,86.48648648648648,37,0,0,0,313,313,0,159,154,0,New Zealand,
PA Hitchcock,Batter,32,64.0,50,7,258,304,189,189,0,97,92,0,New Zealand,4.571428571428571
CT Mumba,Batter,32,57.14285714285714,56,8,329,283,274,274,0,66,208,0,Zimbabwe,4.0
MHW Papps,Batter,32,50.79365079365079,63,0,0,0,92,92,0,56,36,0,New Zealand,
AA Deshpande,Batter,32,46.3768115942029,69,0,0,0,246,246,0,148,98,0,India,
O Bell,Batter,32,41.55844155844156,77,3,164,288,44,44,0,20,24,0,Scotland,10.666666666666666
C Jonker,Batter,31,91.17647058823529,34,0,0,0,419,419,0,264,155,0,South Africa,
CW Perchard,Batter,31,88.57142857142857,35,7,174,216,4,4,0,1,3,0,Jersey,4.428571428571429
LC Boylan,Batter,31,65.95744680851064,47,2,37,19,152,152,0,58,94,0,Ireland,15.5
JB Nero,Batter,31,55.35714285714286,56,0,0,0,83,83,0,39,44,0,West Indies,
D Daesrath,Batter,31,52.54237288135594,59,0,0,0,3,3,0,0,3,0,Canada,
L Maritz,Batter,31,50.0,62,4,158,140,152,152,0,58,94,0,Ireland,7.75
RAP Nissanka,Batter,31,36.04651162790697,86,11,305,411,120,120,0,56,64,1,Sri Lanka,2.8181818181818183
EC Rainsford,Batter,31,30.097087378640776,103,17,805,1070,175,175,0,35,140,0,Zimbabwe,1.8235294117647058
Mohammad Haris,Batter,30,83.33333333333334,36,0,0,0,341,341,0,173,168,0,Pakistan,
Saqlain Haider,Batter,30,75.0,40,0,0,0,6,6,0,1,5,0,United Arab Emirates,
RM Jariwala,Batter,30,56.60377358490566,53,0,0,0,45,45,0,20,25,0,United States of America,
AR Pitcher,Batter,30,54.54545454545454,55,0,0,0,2,2,0,1,1,0,Bermuda,
MVT Fernando,Batter,30,48.38709677419355,62,5,342,308,481,481,0,226,255,0,Sri Lanka,6.0
SM Warnapura,Batter,30,46.875,64,0,0,0,252,252,0,127,125,0,Sri Lanka,
B Leephatthana,Batter,30,45.45454545454545,66,0,0,0,6,6,0,5,1,0,Thailand,
M Mangru,Batter,30,42.857142857142854,70,0,9,18,314,314,0,130,184,0,West Indies,
MF Kendal,Batter,30,34.48275862068966,87,0,22,21,157,157,0,60,97,0,Ireland,
R Boyce,Batter,30,30.0,100,0,0,0,412,412,0,164,248,0,West Indies,
A Neill,Batter,29,67.44186046511628,43,15,345,448,87,87,0,49,38,1,Scotland,1.9333333333333333
M van Jaarsveld,Batter,29,50.877192982456144,57,1,20,32,80,80,0,50,30,0,South Africa,29.0
DI Joyce,Batter,29,47.540983606557376,61,0,0,0,59,59,0,21,38,0,Ireland,
Kamran Hussain,Batter,28,133.33333333333331,21,4,70,103,246,246,0,127,119,0,Pakistan,7.0
G Bloemen,Batter,28,66.66666666666666,42,1,73,83,71,71,0,24,47,0,Netherlands,28.0
KED Carroll,Batter,28,66.66666666666666,42,0,8,6,51,51,0,19,32,0,Ireland,
SA Fritz,Batter,28,53.84615384615385,52,5,38,125,206,206,0,129,77,0,South Africa,5.6
