,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,,Team,Start Date,End Date
0,AM Rahane,4,4,1,146,73,48.66,213,68.54,0,1,0,8,2,,India,2015-01-01,2015-02-01
1,RG Sharma,1,1,0,138,138,138.0,139,99.28,1,0,0,9,4,,India,2015-01-01,2015-02-01
2,MS Dhoni,4,3,0,70,34,23.33,124,56.45,0,0,0,6,0,,India,2015-01-01,2015-02-01
3,AT Rayudu,3,3,0,58,23,19.33,94,61.7,0,0,0,5,1,,India,2015-01-01,2015-02-01
4,SK Raina,4,3,0,53,51,17.66,71,74.64,0,1,0,6,0,,India,2015-01-01,2015-02-01
5,STR Binny,3,2,0,51,44,25.5,67,76.11,0,0,0,4,2,,India,2015-01-01,2015-02-01
6,S Dhawan,4,4,0,49,38,12.25,87,56.32,0,0,0,4,0,,India,2015-01-01,2015-02-01
7,Mohammed Shami,4,3,1,28,25,14.0,28,100.0,0,0,0,3,1,,India,2015-01-01,2015-02-01
8,V Kohli,4,4,1,24,9,8.0,52,46.15,0,0,0,0,0,,India,2015-01-01,2015-02-01
9,R Ashwin,1,1,1,14,14,,20,70.0,0,0,0,0,0,,India,2015-01-01,2015-02-01
10,MM Sharma,1,1,1,7,7,,6,116.66,0,0,0,1,0,,India,2015-01-01,2015-02-01
11,RA Jadeja,2,1,0,5,5,5.0,9,55.55,0,0,0,0,0,,India,2015-01-01,2015-02-01
12,B Kumar,2,2,0,5,5,2.5,6,83.33,0,0,1,0,0,,India,2015-01-01,2015-02-01
13,AR Patel,4,3,0,1,1,0.33,8,12.5,0,0,2,0,0,,India,2015-01-01,2015-02-01
14,UT Yadav,2,1,1,0,0,,0,,0,0,0,0,0,,India,2015-01-01,2015-02-01
15,I Sharma,1,,,,,,,,,,,,,,India,2015-01-01,2015-02-01
16,Shahid Afridi,1,1,0,67,67,67.0,29,231.03,0,1,0,9,3,,Pakistan,2015-01-01,2015-02-01
17,Misbah-ul-Haq,1,1,0,58,58,58.0,87,66.66,0,1,0,4,2,,Pakistan,2015-01-01,2015-02-01
18,Haris Sohail,1,1,0,23,23,23.0,38,60.52,0,0,0,3,0,,Pakistan,2015-01-01,2015-02-01
19,Ahmed Shehzad,1,1,0,15,15,15.0,34,44.11,0,0,0,2,0,,Pakistan,2015-01-01,2015-02-01
20,Umar Akmal,1,1,0,13,13,13.0,25,52.0,0,0,0,2,0,,Pakistan,2015-01-01,2015-02-01
21,Younis Khan,1,1,0,9,9,9.0,26,34.61,0,0,0,1,0,,Pakistan,2015-01-01,2015-02-01
22,Ehsan Adil,1,1,0,6,6,6.0,8,75.0,0,0,0,1,0,,Pakistan,2015-01-01,2015-02-01
23,Sarfaraz Ahmed,1,1,0,5,5,5.0,12,41.66,0,0,0,0,0,,Pakistan,2015-01-01,2015-02-01
24,Mohammad Irfan,1,1,1,1,1,,8,12.5,0,0,0,0,0,,Pakistan,2015-01-01,2015-02-01
25,Bilawal Bhatti,1,1,0,0,0,0.0,2,0.0,0,0,1,0,0,,Pakistan,2015-01-01,2015-02-01
26,Mohammad Hafeez,1,1,0,0,0,0.0,5,0.0,0,0,1,0,0,,Pakistan,2015-01-01,2015-02-01
27,KS Williamson,5,5,0,295,103,59.0,339,87.02,1,2,0,23,3,,New Zealand,2015-01-01,2015-02-01
28,L Ronchi,8,6,2,279,170,69.75,190,146.84,1,0,1,21,13,,New Zealand,2015-01-01,2015-02-01
29,GD Elliott,6,6,3,258,104,86.0,280,92.14,1,1,0,20,3,,New Zealand,2015-01-01,2015-02-01
30,BB McCullum,7,7,0,249,117,35.57,205,121.46,1,1,1,31,10,,New Zealand,2015-01-01,2015-02-01
31,LRPL Taylor,7,7,1,231,96,38.5,328,70.42,0,2,0,17,2,,New Zealand,2015-01-01,2015-02-01
32,CJ Anderson,8,7,1,210,81,35.0,214,98.13,0,1,0,22,6,,New Zealand,2015-01-01,2015-02-01
33,MJ Guptill,8,8,1,163,66,23.28,220,74.09,0,1,3,18,4,,New Zealand,2015-01-01,2015-02-01
34,TWM Latham,5,5,0,91,42,18.2,147,61.9,0,0,0,12,0,,New Zealand,2015-01-01,2015-02-01
35,DL Vettori,5,4,1,52,35,17.33,45,115.55,0,0,0,8,0,,New Zealand,2015-01-01,2015-02-01
36,NL McCullum,5,2,1,38,25,38.0,73,52.05,0,0,0,3,0,,New Zealand,2015-01-01,2015-02-01
37,KD Mills,3,2,0,30,30,15.0,17,176.47,0,0,1,2,1,,New Zealand,2015-01-01,2015-02-01
38,AF Milne,4,2,1,26,19,26.0,38,68.42,0,0,0,1,0,,New Zealand,2015-01-01,2015-02-01
39,MJ Henry,2,1,1,20,20,,17,117.64,0,0,0,2,0,,New Zealand,2015-01-01,2015-02-01
40,TA Boult,5,1,0,13,13,13.0,6,216.66,0,0,0,0,2,,New Zealand,2015-01-01,2015-02-01
41,MJ McClenaghan,6,1,1,5,5,,6,83.33,0,0,0,1,0,,New Zealand,2015-01-01,2015-02-01
42,TG Southee,4,1,0,1,1,1.0,4,25.0,0,0,0,0,0,,New Zealand,2015-01-01,2015-02-01
43,IR Bell,5,5,1,247,141,61.75,239,103.34,1,1,1,27,1,,England,2015-01-01,2015-02-01
44,JWA Taylor,5,5,1,147,82,36.75,219,67.12,0,2,1,8,0,,England,2015-01-01,2015-02-01
45,JC Buttler,5,4,0,137,67,34.25,184,74.45,0,1,0,12,0,,England,2015-01-01,2015-02-01
46,EJG Morgan,5,4,0,123,121,30.75,151,81.45,1,0,2,11,3,,England,2015-01-01,2015-02-01
47,MM Ali,5,5,0,119,46,23.8,145,82.06,0,0,0,12,4,,England,2015-01-01,2015-02-01
48,JE Root,5,4,0,102,69,25.5,124,82.25,0,1,0,9,0,,England,2015-01-01,2015-02-01
49,RS Bopara,5,4,0,57,33,14.25,99,57.57,0,0,0,2,0,,England,2015-01-01,2015-02-01
50,SCJ Broad,5,4,3,27,24,27.0,27,100.0,0,0,0,2,2,,England,2015-01-01,2015-02-01
51,CJ Jordan,1,1,0,17,17,17.0,21,80.95,0,0,0,1,0,,England,2015-01-01,2015-02-01
52,CR Woakes,5,4,1,12,8,4.0,24,50.0,0,0,2,0,0,,England,2015-01-01,2015-02-01
53,ST Finn,5,2,0,6,6,3.0,37,16.21,0,0,1,0,0,,England,2015-01-01,2015-02-01
54,JM Anderson,4,1,1,5,5,,2,250.0,0,0,0,1,0,,England,2015-01-01,2015-02-01
55,SPD Smith,5,4,1,226,102,75.33,244,92.62,1,0,0,19,2,,Australia,2015-01-01,2015-02-01
56,DA Warner,4,3,0,163,127,54.33,155,105.16,1,0,0,23,0,,Australia,2015-01-01,2015-02-01
57,GJ Maxwell,5,4,0,152,95,38.0,161,94.4,0,1,1,20,1,,Australia,2015-01-01,2015-02-01
58,AJ Finch,5,4,0,143,96,35.75,180,79.44,0,1,1,11,2,,Australia,2015-01-01,2015-02-01
59,JP Faulkner,5,4,3,100,50,100.0,80,125.0,0,1,0,11,4,,Australia,2015-01-01,2015-02-01
60,BJ Haddin,5,4,1,80,42,26.66,60,133.33,0,0,0,9,1,,Australia,2015-01-01,2015-02-01
61,MR Marsh,2,1,0,60,60,60.0,68,88.23,0,1,0,7,1,,Australia,2015-01-01,2015-02-01
62,SR Watson,2,2,0,57,41,28.5,59,96.61,0,0,0,7,1,,Australia,2015-01-01,2015-02-01
63,SE Marsh,1,1,0,45,45,45.0,48,93.75,0,0,0,6,0,,Australia,2015-01-01,2015-02-01
64,GJ Bailey,4,3,0,17,10,5.66,53,32.07,0,0,0,1,0,,Australia,2015-01-01,2015-02-01
65,MC Henriques,1,1,0,4,4,4.0,11,36.36,0,0,0,0,0,,Australia,2015-01-01,2015-02-01
66,MG Johnson,1,1,0,3,3,3.0,10,30.0,0,0,0,0,0,,Australia,2015-01-01,2015-02-01
67,MA Starc,5,3,3,1,1,,1,100.0,0,0,0,0,0,,Australia,2015-01-01,2015-02-01
68,CL White,1,1,0,0,0,0.0,2,0.0,0,0,1,0,0,,Australia,2015-01-01,2015-02-01
69,PJ Cummins,3,,,,,,,,,,,,,,Australia,2015-01-01,2015-02-01
70,XJ Doherty,2,,,,,,,,,,,,,,Australia,2015-01-01,2015-02-01
71,JR Hazlewood,2,,,,,,,,,,,,,,Australia,2015-01-01,2015-02-01
72,GS Sandhu,2,,,,,,,,,,,,,,Australia,2015-01-01,2015-02-01
73,Javed Ahmadi,4,4,0,189,81,47.25,210,90.0,0,2,0,20,4,,Afghanistan,2015-01-01,2015-02-01
74,Najibullah Zadran,4,3,0,129,83,43.0,120,107.5,0,1,0,10,9,,Afghanistan,2015-01-01,2015-02-01
75,Usman Ghani,4,4,0,80,48,20.0,80,100.0,0,0,0,10,1,,Afghanistan,2015-01-01,2015-02-01
76,Afsar Zazai,4,4,1,67,48,22.33,91,73.62,0,0,1,6,0,,Afghanistan,2015-01-01,2015-02-01
77,Nasir Jamal,2,2,1,60,52,60.0,70,85.71,0,1,0,6,0,,Afghanistan,2015-01-01,2015-02-01
78,Samiullah Shinwari,3,2,0,60,50,30.0,111,54.05,0,1,0,2,1,,Afghanistan,2015-01-01,2015-02-01
79,Asghar Afghan,3,3,0,54,44,18.0,114,47.36,0,0,0,2,0,,Afghanistan,2015-01-01,2015-02-01
80,Mirwais Ashraf,4,3,1,17,12,8.5,40,42.5,0,0,1,0,0,,Afghanistan,2015-01-01,2015-02-01
81,Dawlat Zadran,3,2,1,13,11,13.0,25,52.0,0,0,0,1,0,,Afghanistan,2015-01-01,2015-02-01
82,Mohammad Nabi,4,3,0,11,9,3.66,33,33.33,0,0,1,0,0,,Afghanistan,2015-01-01,2015-02-01
83,Aftab Alam,3,3,2,3,2,3.0,3,100.0,0,0,1,0,0,,Afghanistan,2015-01-01,2015-02-01
84,Gulbadin Naib,2,1,0,0,0,0.0,3,0.0,0,0,1,0,0,,Afghanistan,2015-01-01,2015-02-01
85,Hamid Hassan,3,1,0,0,0,0.0,1,0.0,0,0,1,0,0,,Afghanistan,2015-01-01,2015-02-01
86,Izatullah Dawlatzai,1,1,0,0,0,0.0,6,0.0,0,0,1,0,0,,Afghanistan,2015-01-01,2015-02-01
87,HM Amla,4,4,2,413,153,206.5,376,109.84,2,2,0,44,6,,South Africa,2015-01-01,2015-02-01
88,RR Rossouw,5,5,0,271,132,54.2,235,115.31,2,0,1,22,10,,South Africa,2015-01-01,2015-02-01
89,AB de Villiers,4,3,0,249,149,83.0,163,152.76,1,1,0,18,16,,South Africa,2015-01-01,2015-02-01
90,DA Miller,5,4,2,223,130,111.5,210,106.19,1,1,0,20,7,,South Africa,2015-01-01,2015-02-01
91,JP Duminy,5,3,1,73,43,36.5,92,79.34,0,0,0,6,1,,South Africa,2015-01-01,2015-02-01
92,F du Plessis,5,4,1,71,51,23.66,116,61.2,0,1,1,8,0,,South Africa,2015-01-01,2015-02-01
93,F Behardien,5,3,1,29,12,14.5,27,107.4,0,0,0,2,0,,South Africa,2015-01-01,2015-02-01
94,MN van Wyk,1,1,0,18,18,18.0,24,75.0,0,0,0,4,0,,South Africa,2015-01-01,2015-02-01
95,WD Parnell,2,1,0,12,12,12.0,17,70.58,0,0,0,0,0,,South Africa,2015-01-01,2015-02-01
96,DW Steyn,3,1,1,6,6,,13,46.15,0,0,0,1,0,,South Africa,2015-01-01,2015-02-01
97,Q de Kock,1,1,0,4,4,4.0,7,57.14,0,0,0,1,0,,South Africa,2015-01-01,2015-02-01
98,VD Philander,3,1,0,4,4,4.0,8,50.0,0,0,0,0,0,,South Africa,2015-01-01,2015-02-01
99,M Morkel,4,1,1,2,2,,3,66.66,0,0,0,0,0,,South Africa,2015-01-01,2015-02-01
100,KJ Abbott,2,1,1,1,1,,2,50.0,0,0,0,0,0,,South Africa,2015-01-01,2015-02-01
101,AM Phangiso,2,1,0,0,0,0.0,1,0.0,0,0,1,0,0,,South Africa,2015-01-01,2015-02-01
102,M de Lange,1,,,,,,,,,,,,,,South Africa,2015-01-01,2015-02-01
103,Imran Tahir,3,,,,,,,,,,,,,,South Africa,2015-01-01,2015-02-01
104,S Dhawan,3,3,0,224,137,74.66,239,93.72,1,1,0,26,3,,India,2015-02-01,2015-03-01
105,V Kohli,3,3,1,186,107,93.0,227,81.93,1,0,0,16,0,,India,2015-02-01,2015-03-01
106,SK Raina,3,2,0,80,74,40.0,61,131.14,0,1,0,6,3,,India,2015-02-01,2015-03-01
107,AM Rahane,3,2,0,79,79,39.5,61,129.5,0,1,1,7,3,,India,2015-02-01,2015-03-01
108,RG Sharma,3,3,1,72,57,36.0,81,88.88,0,1,1,12,1,,India,2015-02-01,2015-03-01
109,MS Dhoni,3,2,0,36,18,18.0,24,150.0,0,0,0,4,1,,India,2015-02-01,2015-03-01
110,Mohammed Shami,2,2,2,7,4,,8,87.5,0,0,0,1,0,,India,2015-02-01,2015-03-01
111,R Ashwin,3,2,2,6,5,,6,100.0,0,0,0,0,0,,India,2015-02-01,2015-03-01
112,RA Jadeja,3,2,0,5,3,2.5,9,55.55,0,0,0,0,0,,India,2015-02-01,2015-03-01
113,B Kumar,1,,,,,,,,,,,,,,India,2015-02-01,2015-03-01
114,MM Sharma,3,,,,,,,,,,,,,,India,2015-02-01,2015-03-01
115,UT Yadav,3,,,,,,,,,,,,,,India,2015-02-01,2015-03-01
116,Misbah-ul-Haq,4,4,0,201,76,50.25,277,72.56,0,2,0,15,2,,Pakistan,2015-02-01,2015-03-01
117,Ahmed Shehzad,4,4,0,103,55,25.75,156,66.02,0,1,1,13,0,,Pakistan,2015-02-01,2015-03-01
118,Umar Akmal,4,4,0,96,59,24.0,119,80.67,0,1,1,9,1,,Pakistan,2015-02-01,2015-03-01
119,Mohammad Hafeez,1,1,0,86,86,86.0,89,96.62,0,1,0,5,3,,Pakistan,2015-02-01,2015-03-01
120,Sohaib Maqsood,3,3,0,71,50,23.66,85,83.52,0,1,1,6,1,,Pakistan,2015-02-01,2015-03-01
121,Haris Sohail,4,4,0,69,36,17.25,104,66.34,0,0,1,6,0,,Pakistan,2015-02-01,2015-03-01
122,Shahid Afridi,4,4,0,61,28,15.25,59,103.38,0,0,1,6,1,,Pakistan,2015-02-01,2015-03-01
123,Wahab Riaz,3,3,1,61,54,30.5,61,100.0,0,1,0,7,1,,Pakistan,2015-02-01,2015-03-01
124,Younis Khan,3,3,0,17,11,5.66,25,68.0,0,0,1,2,0,,Pakistan,2015-02-01,2015-03-01
125,Sohail Khan,3,3,1,14,7,7.0,26,53.84,0,0,0,1,0,,Pakistan,2015-02-01,2015-03-01
126,Sarfaraz Ahmed,1,1,0,13,13,13.0,12,108.33,0,0,0,1,0,,Pakistan,2015-02-01,2015-03-01
127,Yasir Shah,1,1,0,13,13,13.0,23,56.52,0,0,0,1,0,,Pakistan,2015-02-01,2015-03-01
128,Bilawal Bhatti,1,1,0,9,9,9.0,11,81.81,0,0,0,1,0,,Pakistan,2015-02-01,2015-03-01
129,Mohammad Irfan,4,3,3,3,2,,18,16.66,0,0,0,0,0,,Pakistan,2015-02-01,2015-03-01
130,Ehsan Adil,1,1,0,1,1,1.0,2,50.0,0,0,0,0,0,,Pakistan,2015-02-01,2015-03-01
131,Nasir Jamshed,2,2,0,1,1,0.5,11,9.09,0,0,1,0,0,,Pakistan,2015-02-01,2015-03-01
132,Rahat Ali,1,,,,,,,,,,,,,,Pakistan,2015-02-01,2015-03-01
133,Shakib Al Hasan,2,2,0,109,63,54.5,110,99.09,0,1,0,10,2,,Bangladesh,2015-02-01,2015-03-01
134,Mushfiqur Rahim,2,2,0,107,71,53.5,95,112.63,0,1,0,8,2,,Bangladesh,2015-02-01,2015-03-01
135,Anamul Haque,2,2,0,58,29,29.0,98,59.18,0,0,0,5,1,,Bangladesh,2015-02-01,2015-03-01
136,Sabbir Rahman,2,2,0,56,53,28.0,70,80.0,0,1,0,7,0,,Bangladesh,2015-02-01,2015-03-01
137,Soumya Sarkar,2,2,0,53,28,26.5,40,132.5,0,0,0,8,1,,Bangladesh,2015-02-01,2015-03-01
138,Mahmudullah,2,2,0,51,28,25.5,92,55.43,0,0,0,3,0,,Bangladesh,2015-02-01,2015-03-01
139,Mashrafe Mortaza,2,2,0,21,14,10.5,16,131.25,0,0,0,4,0,,Bangladesh,2015-02-01,2015-03-01
140,Tamim Iqbal,2,2,0,19,19,9.5,44,43.18,0,0,1,2,0,,Bangladesh,2015-02-01,2015-03-01
141,Mominul Haque,2,2,0,4,3,2.0,6,66.66,0,0,0,0,0,,Bangladesh,2015-02-01,2015-03-01
142,Taskin Ahmed,2,2,0,1,1,0.5,4,25.0,0,0,1,0,0,,Bangladesh,2015-02-01,2015-03-01
143,Rubel Hossain,2,2,2,0,0,,7,0.0,0,0,0,0,0,,Bangladesh,2015-02-01,2015-03-01
144,KS Williamson,5,5,2,261,112,87.0,262,99.61,1,1,0,31,3,,New Zealand,2015-02-01,2015-03-01
145,BB McCullum,5,5,0,238,77,47.6,137,173.72,0,3,0,33,12,,New Zealand,2015-02-01,2015-03-01
146,MJ Guptill,5,5,0,175,76,35.0,200,87.5,0,1,0,21,2,,New Zealand,2015-02-01,2015-03-01
147,LRPL Taylor,5,5,2,131,102,43.66,119,110.08,1,0,0,15,2,,New Zealand,2015-02-01,2015-03-01
148,CJ Anderson,4,3,0,112,75,37.33,104,107.69,0,1,0,11,3,,New Zealand,2015-02-01,2015-03-01
149,GD Elliott,5,4,0,86,29,21.5,87,98.85,0,0,1,7,2,,New Zealand,2015-02-01,2015-03-01
150,L Ronchi,5,4,1,47,29,15.66,37,127.02,0,0,1,6,1,,New Zealand,2015-02-01,2015-03-01
151,DL Vettori,5,2,1,10,8,10.0,7,142.85,0,0,0,1,0,,New Zealand,2015-02-01,2015-03-01
152,NL McCullum,1,1,1,9,9,,5,180.0,0,0,0,0,1,,New Zealand,2015-02-01,2015-03-01
153,AF Milne,5,2,1,1,1,1.0,5,20.0,0,0,1,0,0,,New Zealand,2015-02-01,2015-03-01
154,TA Boult,5,1,1,0,0,,2,0.0,0,0,0,0,0,,New Zealand,2015-02-01,2015-03-01
155,TG Southee,5,1,0,0,0,0.0,1,0.0,0,0,1,0,0,,New Zealand,2015-02-01,2015-03-01
156,MM Ali,5,5,0,199,128,39.8,191,104.18,1,0,0,26,5,,England,2015-02-01,2015-03-01
157,JE Root,5,5,0,198,121,39.6,230,86.08,1,0,0,19,2,,England,2015-02-01,2015-03-01
158,IR Bell,5,5,0,155,54,31.0,210,73.8,0,1,0,16,0,,England,2015-02-01,2015-03-01
159,JWA Taylor,5,5,1,144,98,36.0,162,88.88,0,1,1,12,3,,England,2015-02-01,2015-03-01
160,JC Buttler,5,5,1,93,39,23.25,74,125.67,0,0,0,14,1,,England,2015-02-01,2015-03-01
161,EJG Morgan,5,5,0,90,46,18.0,137,65.69,0,0,2,7,3,,England,2015-02-01,2015-03-01
162,CR Woakes,5,5,1,48,37,12.0,55,87.27,0,0,1,3,0,,England,2015-02-01,2015-03-01
163,GS Ballance,4,4,0,36,10,9.0,71,50.7,0,0,0,3,0,,England,2015-02-01,2015-03-01
164,RS Bopara,1,1,0,33,33,33.0,59,55.93,0,0,0,1,0,,England,2015-02-01,2015-03-01
165,SCJ Broad,5,4,1,28,24,9.33,34,82.35,0,0,1,2,2,,England,2015-02-01,2015-03-01
166,JM Anderson,5,3,2,14,8,14.0,15,93.33,0,0,0,2,0,,England,2015-02-01,2015-03-01
167,ST Finn,5,4,1,8,6,2.66,51,15.68,0,0,1,0,0,,England,2015-02-01,2015-03-01
168,GJ Maxwell,3,3,0,162,95,54.0,141,114.89,0,2,0,26,0,,Australia,2015-02-01,2015-03-01
169,AJ Finch,3,3,0,149,135,49.66,138,107.97,1,0,1,13,4,,Australia,2015-02-01,2015-03-01
170,BJ Haddin,3,3,0,83,43,27.66,67,123.88,0,0,0,10,2,,Australia,2015-02-01,2015-03-01
171,MR Marsh,3,3,0,83,60,27.66,90,92.22,0,1,1,10,1,,Australia,2015-02-01,2015-03-01
172,DA Warner,3,3,0,68,34,22.66,78,87.17,0,0,0,7,1,,Australia,2015-02-01,2015-03-01
173,GJ Bailey,2,2,0,57,55,28.5,86,66.27,0,1,0,3,0,,Australia,2015-02-01,2015-03-01
174,JP Faulkner,1,1,1,50,50,,24,208.33,0,1,0,4,4,,Australia,2015-02-01,2015-03-01
175,SPD Smith,3,3,0,49,40,16.33,70,70.0,0,0,0,6,0,,Australia,2015-02-01,2015-03-01
176,SR Watson,2,2,0,23,23,11.5,31,74.19,0,0,1,2,0,,Australia,2015-02-01,2015-03-01
177,MJ Clarke,1,1,0,12,12,12.0,18,66.66,0,0,0,1,0,,Australia,2015-02-01,2015-03-01
178,PJ Cummins,1,1,1,7,7,,30,23.33,0,0,0,1,0,,Australia,2015-02-01,2015-03-01
179,MG Johnson,3,3,0,4,3,1.33,18,22.22,0,0,1,0,0,,Australia,2015-02-01,2015-03-01
180,MA Starc,3,3,2,0,0,0.0,3,0.0,0,0,1,0,0,,Australia,2015-02-01,2015-03-01
181,JR Hazlewood,2,,,,,,,,,,,,,,Australia,2015-02-01,2015-03-01
182,Samiullah Shinwari,3,3,0,176,96,58.66,292,60.27,0,1,0,14,5,,Afghanistan,2015-02-01,2015-03-01
183,Javed Ahmadi,3,3,0,76,51,25.33,76,100.0,0,1,0,12,0,,Afghanistan,2015-02-01,2015-03-01
184,Mohammad Nabi,3,3,0,66,44,22.0,73,90.41,0,0,0,7,1,,Afghanistan,2015-02-01,2015-03-01
185,Asghar Afghan,3,3,0,59,54,19.66,67,88.05,0,1,0,6,1,,Afghanistan,2015-02-01,2015-03-01
186,Nawroz Mangal,3,3,0,44,27,14.66,100,44.0,0,0,0,2,0,,Afghanistan,2015-02-01,2015-03-01
187,Mirwais Ashraf,2,2,0,38,28,19.0,47,80.85,0,0,0,1,3,,Afghanistan,2015-02-01,2015-03-01
188,Najibullah Zadran,3,3,0,31,17,10.33,54,57.4,0,0,0,2,1,,Afghanistan,2015-02-01,2015-03-01
189,Afsar Zazai,3,3,0,20,19,6.66,44,45.45,0,0,1,1,0,,Afghanistan,2015-02-01,2015-03-01
190,Hamid Hassan,3,3,1,15,15,7.5,45,33.33,0,0,2,1,0,,Afghanistan,2015-02-01,2015-03-01
191,Shapoor Zadran,3,3,3,15,12,,13,115.38,0,0,0,2,0,,Afghanistan,2015-02-01,2015-03-01
192,Aftab Alam,1,1,0,14,14,14.0,12,116.66,0,0,0,2,1,,Afghanistan,2015-02-01,2015-03-01
193,Dawlat Zadran,2,2,0,13,9,6.5,30,43.33,0,0,0,2,0,,Afghanistan,2015-02-01,2015-03-01
194,Gulbadin Naib,1,1,0,0,0,0.0,1,0.0,0,0,1,0,0,,Afghanistan,2015-02-01,2015-03-01
195,AB de Villiers,3,3,1,217,162,108.5,140,155.0,1,0,0,21,9,,South Africa,2015-02-01,2015-03-01
196,DA Miller,3,3,1,180,138,90.0,131,137.4,1,0,0,9,9,,South Africa,2015-02-01,2015-03-01
197,F du Plessis,3,3,0,141,62,47.0,173,81.5,0,2,0,8,1,,South Africa,2015-02-01,2015-03-01
198,JP Duminy,2,2,1,121,115,121.0,115,105.21,1,0,0,9,3,,South Africa,2015-02-01,2015-03-01
199,HM Amla,3,3,0,98,65,32.66,142,69.01,0,1,0,4,1,,South Africa,2015-02-01,2015-03-01
200,RR Rossouw,1,1,0,61,61,61.0,39,156.41,0,1,0,6,1,,South Africa,2015-02-01,2015-03-01
201,Q de Kock,3,3,0,26,12,8.66,50,52.0,0,0,0,5,0,,South Africa,2015-02-01,2015-03-01
202,WD Parnell,1,1,1,17,17,,28,60.71,0,0,0,1,0,,South Africa,2015-02-01,2015-03-01
203,F Behardien,2,1,1,10,10,,5,200.0,0,0,0,0,1,,South Africa,2015-02-01,2015-03-01
204,Imran Tahir,3,1,0,8,8,8.0,10,80.0,0,0,0,1,0,,South Africa,2015-02-01,2015-03-01
205,M Morkel,3,1,0,2,2,2.0,5,40.0,0,0,0,0,0,,South Africa,2015-02-01,2015-03-01
206,DW Steyn,3,1,0,1,1,1.0,7,14.28,0,0,0,0,0,,South Africa,2015-02-01,2015-03-01
207,VD Philander,2,1,0,0,0,0.0,2,0.0,0,0,1,0,0,,South Africa,2015-02-01,2015-03-01
208,KJ Abbott,1,,,,,,,,,,,,,,South Africa,2015-02-01,2015-03-01
209,RG Sharma,5,5,0,258,137,51.6,279,92.47,1,1,0,21,8,,India,2015-03-01,2015-04-01
210,SK Raina,5,4,1,204,110,68.0,197,103.55,1,1,0,19,5,,India,2015-03-01,2015-04-01
211,MS Dhoni,5,4,2,201,85,100.5,208,96.63,0,2,0,14,5,,India,2015-03-01,2015-04-01
212,S Dhawan,5,5,0,188,100,37.6,210,89.52,1,0,0,22,6,,India,2015-03-01,2015-04-01
213,AM Rahane,5,5,1,129,44,32.25,191,67.53,0,0,0,14,0,,India,2015-03-01,2015-04-01
214,V Kohli,5,5,1,119,44,29.75,147,80.95,0,0,0,13,1,,India,2015-03-01,2015-04-01
215,RA Jadeja,5,3,1,52,23,26.0,50,104.0,0,0,0,8,0,,India,2015-03-01,2015-04-01
216,R Ashwin,5,3,2,24,16,24.0,48,50.0,0,0,0,0,0,,India,2015-03-01,2015-04-01
217,Mohammed Shami,5,1,1,1,1,,1,100.0,0,0,0,0,0,,India,2015-03-01,2015-04-01
218,MM Sharma,5,1,0,0,0,0.0,1,0.0,0,0,1,0,0,,India,2015-03-01,2015-04-01
219,UT Yadav,5,1,0,0,0,0.0,5,0.0,0,0,1,0,0,,India,2015-03-01,2015-04-01
220,Misbah-ul-Haq,5,5,0,267,73,53.4,361,73.96,0,3,0,15,6,,Pakistan,2015-03-01,2015-04-01
221,Ahmed Shehzad,5,5,0,179,93,35.8,230,77.82,0,2,1,19,1,,Pakistan,2015-03-01,2015-04-01
222,Sarfaraz Ahmed,3,3,1,160,101,80.0,189,84.65,1,0,0,12,3,,Pakistan,2015-03-01,2015-04-01
223,Haris Sohail,4,4,0,141,70,35.25,191,73.82,0,1,0,11,1,,Pakistan,2015-03-01,2015-04-01
224,Umar Akmal,5,5,1,105,33,26.25,129,81.39,0,0,0,12,1,,Pakistan,2015-03-01,2015-04-01
225,Sohaib Maqsood,5,4,0,103,45,25.75,108,95.37,0,0,0,8,2,,Pakistan,2015-03-01,2015-04-01
226,Wahab Riaz,5,4,2,76,54,38.0,70,108.57,0,1,1,8,2,,Pakistan,2015-03-01,2015-04-01
227,Shahid Afridi,5,4,1,66,23,22.0,39,169.23,0,0,1,5,5,,Pakistan,2015-03-01,2015-04-01
228,Younis Khan,1,1,0,37,37,37.0,44,84.09,0,0,0,4,0,,Pakistan,2015-03-01,2015-04-01
229,Ehsan Adil,2,1,0,15,15,15.0,22,68.18,0,0,0,1,0,,Pakistan,2015-03-01,2015-04-01
230,Sohail Khan,5,3,1,13,6,6.5,24,54.16,0,0,0,0,0,,Pakistan,2015-03-01,2015-04-01
231,Rahat Ali,5,2,1,7,6,7.0,27,25.92,0,0,0,0,0,,Pakistan,2015-03-01,2015-04-01
232,Nasir Jamshed,2,2,0,5,4,2.5,21,23.8,0,0,0,0,0,,Pakistan,2015-03-01,2015-04-01
233,Mohammad Irfan,3,1,1,1,1,,3,33.33,0,0,0,0,0,,Pakistan,2015-03-01,2015-04-01
234,Mahmudullah,4,4,1,314,128,104.66,354,88.7,2,1,0,27,6,,Bangladesh,2015-03-01,2015-04-01
235,Mushfiqur Rahim,4,4,0,191,89,47.75,187,102.13,0,2,0,18,3,,Bangladesh,2015-03-01,2015-04-01
236,Tamim Iqbal,4,4,0,135,95,33.75,159,84.9,0,1,0,15,1,,Bangladesh,2015-03-01,2015-04-01
237,Sabbir Rahman,4,4,1,126,42,42.0,115,109.56,0,0,0,11,5,,Bangladesh,2015-03-01,2015-04-01
