Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Team
Mushfiqur Rahim,43.739495798319325,44.28571428571429,91.00840336134455,8.0,WK,Bangladesh
Mustafizur Rahman,12.352941176470589,53.94957983193277,34.15966386554622,8.0,BOWL,Bangladesh
Nahid Rana,7.58403361344538,50.7563025210084,44.03361344537815,6.0,BOWL,Bangladesh
Najmul Hossain Shanto,59.285714285714285,39.49579831932773,48.02521008403362,8.0,BAT,Bangladesh
Nangeyalia Kharote,30.672268907563026,73.44537815126051,32.89915966386555,6.0,BOWL,Afghanistan
Naseem Shah,42.01680672268907,62.68907563025209,28.697478991596636,7.5,BOWL,Pakistan
Nasum Ahmed,37.94117647058824,47.89915966386555,35.0,7.0,BOWL,Bangladesh
Nathan Ellis,22.478991596638654,65.88235294117648,49.28571428571429,7.0,BOWL,Australia
Nathan Smith,13.487394957983193,46.72268907563025,56.84873949579831,6.0,BOWL,New Zealand
Naveed Zadran,12.521008403361346,43.865546218487395,25.546218487394956,6.0,BOWL,Afghanistan
Noor Ahmad,18.15126050420168,39.32773109243697,29.53781512605042,7.0,BOWL,Afghanistan
Philip Salt,77.18487394957984,44.28571428571429,80.96638655462185,7.5,WK,England
Rachin Ravindra,83.57142857142857,50.252100840336134,39.6218487394958,8.0,BAT,New Zealand
Rahmanullah Gurbaz,73.99159663865545,44.28571428571429,59.95798319327731,8.5,WK,Afghanistan
Rahmat Shah,54.075630252100844,48.235294117647065,40.042016806722685,7.5,BAT,Afghanistan
Rashid-Khan,43.529411764705884,69.91596638655463,38.78151260504201,9.0,BOWL,Afghanistan
Rassie van der-Dussen,73.23529411764707,44.28571428571429,56.42857142857143,8.0,BAT,South Africa
Ravindra Jadeja,52.142857142857146,77.81512605042018,60.63025210084034,8.0,ALL,India
Rishabh Pant,21.00840336134454,44.28571428571429,61.17647058823529,7.0,WK,India
Rishad- Hossain,48.61344537815127,56.97478991596638,58.529411764705884,6.5,ALL,Bangladesh
Rohit Sharma,93.31932773109244,48.31932773109244,55.58823529411764,9.0,BAT,India
Ryan Rickelton,78.36134453781513,44.28571428571429,74.07563025210084,7.0,WK,South Africa
Saqib Mahmood,12.605042016806722,48.73949579831932,25.546218487394956,7.5,BOWL,England
Saud Shakeel,53.15126050420169,44.28571428571429,53.0672268907563,7.0,BAT,Pakistan
Sean Abbott,44.285714285714285,61.1764705882353,48.4453781512605,7.5,BOWL,Australia
Sediqullah Atal,64.53781512605042,44.28571428571429,59.78991596638656,6.5,BAT,Afghanistan
Shaheen Afridi,41.13445378151261,66.21848739495798,58.10924369747899,9.0,BOWL,Pakistan
Shreyas Iyer,93.10924369747899,44.28571428571429,60.21008403361344,8.0,BAT,India
Shubman Gill,92.89915966386555,39.831932773109244,70.71428571428571,8.5,BAT,India
Soumya Sarkar,45.46218487394958,47.226890756302524,57.26890756302521,7.0,BAT,Bangladesh
Spencer Johnson,7.037815126050421,45.54621848739496,25.546218487394956,7.0,BOWL,Australia
Steven Smith,67.05882352941177,44.28571428571429,61.05042016806722,8.5,BAT,Australia
Tabraiz Shamsi,9.306722689075631,47.39495798319328,29.95798319327731,6.5,BOWL,South Africa
Tanveer Sangha,8.172268907563026,36.30252100840336,25.546218487394956,6.0,BOWL,Australia
Tanzid Hasan,59.95798319327731,44.28571428571429,40.882352941176464,7.0,BAT,Bangladesh
Tanzim Sakib,25.50420168067227,44.03361344537815,29.11764705882353,7.0,BOWL,Bangladesh
Taskin Ahmed,20.08403361344538,60.168067226890756,28.277310924369747,8.5,BOWL,Bangladesh
Tawhid Hridoy,70.16806722689076,41.00840336134454,41.72268907563026,7.5,BAT,Bangladesh
