,Player,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,Team,Start Date,End Date
866,Najibullah Zadran,6,5,6,6,0,0.0,6,,1.2,,Afghanistan,2016-07-01,2016-08-01
867,Rashid Khan,6,5,5,5,0,0.0,5,,1.0,,Afghanistan,2016-07-01,2016-08-01
868,Mohammad Nabi,6,5,3,3,0,0.0,3,,0.6,,Afghanistan,2016-07-01,2016-08-01
869,Javed Ahmadi,5,4,1,1,0,0.0,1,,0.25,,Afghanistan,2016-07-01,2016-08-01
870,Mirwais Ashraf,6,5,1,1,0,0.0,1,,0.2,,Afghanistan,2016-07-01,2016-08-01
871,Noor Ali Zadran,3,2,1,1,0,0.0,1,,0.5,,Afghanistan,2016-07-01,2016-08-01
872,Rahmat Shah,6,5,1,1,0,0.0,1,,0.2,,Afghanistan,2016-07-01,2016-08-01
873,Samiullah Shinwari,3,3,1,1,0,0.0,1,,0.333,,Afghanistan,2016-07-01,2016-08-01
874,Yamin Ahmadzai,2,2,1,1,0,0.0,1,,0.5,,Afghanistan,2016-07-01,2016-08-01
875,Asghar Afghan,6,5,0,0,0,0.0,0,0.0,0.0,,Afghanistan,2016-07-01,2016-08-01
876,Dawlat Zadran,6,5,0,0,0,0.0,0,0.0,0.0,,Afghanistan,2016-07-01,2016-08-01
877,Gulbadin Naib,1,1,0,0,0,0.0,0,0.0,0.0,,Afghanistan,2016-07-01,2016-08-01
878,Hamid Hassan,2,1,0,0,0,0.0,0,0.0,0.0,,Afghanistan,2016-07-01,2016-08-01
879,Shapoor Zadran,2,2,0,0,0,0.0,0,0.0,0.0,,Afghanistan,2016-07-01,2016-08-01
880,Sarfaraz Ahmed,5,5,6,4,2,4.0,0,,1.2,,Pakistan,2016-08-01,2016-09-01
881,Babar Azam,5,5,2,2,0,0.0,2,,0.4,,Pakistan,2016-08-01,2016-09-01
882,Hasan Ali,4,4,1,1,0,0.0,1,,0.25,,Pakistan,2016-08-01,2016-09-01
883,Mohammad Hafeez,2,2,1,1,0,0.0,1,,0.5,,Pakistan,2016-08-01,2016-09-01
884,Mohammad Irfan,1,1,1,1,0,0.0,1,,1.0,,Pakistan,2016-08-01,2016-09-01
885,Mohammad Rizwan,1,1,1,1,0,0.0,1,,1.0,,Pakistan,2016-08-01,2016-09-01
886,Sharjeel Khan,5,5,1,1,0,0.0,1,,0.2,,Pakistan,2016-08-01,2016-09-01
887,Shoaib Malik,4,4,1,1,0,0.0,1,,0.25,,Pakistan,2016-08-01,2016-09-01
888,Azhar Ali,5,5,0,0,0,0.0,0,0.0,0.0,,Pakistan,2016-08-01,2016-09-01
889,Imad Wasim,4,4,0,0,0,0.0,0,0.0,0.0,,Pakistan,2016-08-01,2016-09-01
890,Mohammad Amir,4,4,0,0,0,0.0,0,0.0,0.0,,Pakistan,2016-08-01,2016-09-01
891,Mohammad Nawaz (3),4,4,0,0,0,0.0,0,0.0,0.0,,Pakistan,2016-08-01,2016-09-01
892,Sami Aslam,3,3,0,0,0,0.0,0,0.0,0.0,,Pakistan,2016-08-01,2016-09-01
893,Umar Gul,3,3,0,0,0,0.0,0,0.0,0.0,,Pakistan,2016-08-01,2016-09-01
894,Wahab Riaz,3,3,0,0,0,0.0,0,0.0,0.0,,Pakistan,2016-08-01,2016-09-01
895,Yasir Shah,2,2,0,0,0,0.0,0,0.0,0.0,,Pakistan,2016-08-01,2016-09-01
896,JC Buttler,3,3,5,5,0,5.0,0,,1.666,,England,2016-08-01,2016-09-01
897,LE Plunkett,4,4,3,3,0,0.0,3,,0.75,,England,2016-08-01,2016-09-01
898,JE Root,4,4,3,3,0,0.0,3,,0.75,,England,2016-08-01,2016-09-01
899,BA Stokes,4,4,3,3,0,0.0,3,,0.75,,England,2016-08-01,2016-09-01
900,MM Ali,4,4,2,2,0,0.0,2,,0.5,,England,2016-08-01,2016-09-01
901,AD Hales,4,4,2,2,0,0.0,2,,0.5,,England,2016-08-01,2016-09-01
902,EJG Morgan,4,4,2,2,0,0.0,2,,0.5,,England,2016-08-01,2016-09-01
903,AU Rashid,4,4,2,2,0,0.0,2,,0.5,,England,2016-08-01,2016-09-01
904,JM Bairstow,1,1,1,0,1,0.0,0,,1.0,,England,2016-08-01,2016-09-01
905,JJ Roy,4,4,1,1,0,0.0,1,,0.25,,England,2016-08-01,2016-09-01
906,DJ Willey,1,1,1,1,0,0.0,1,,1.0,,England,2016-08-01,2016-09-01
907,CR Woakes,3,3,1,1,0,0.0,1,,0.333,,England,2016-08-01,2016-09-01
908,MA Wood,3,3,1,1,0,0.0,1,,0.333,,England,2016-08-01,2016-09-01
909,CJ Jordan,1,1,0,0,0,0.0,0,0.0,0.0,,England,2016-08-01,2016-09-01
910,MS Wade,4,4,5,5,0,5.0,0,,1.25,,Australia,2016-08-01,2016-09-01
911,GJ Bailey,4,4,4,4,0,0.0,4,,1.0,,Australia,2016-08-01,2016-09-01
912,AJ Finch,4,4,3,3,0,0.0,3,,0.75,,Australia,2016-08-01,2016-09-01
913,DA Warner,4,4,3,3,0,0.0,3,,0.75,,Australia,2016-08-01,2016-09-01
914,TM Head,4,4,2,2,0,0.0,2,,0.5,,Australia,2016-08-01,2016-09-01
915,SE Marsh,1,1,2,2,0,0.0,2,,2.0,,Australia,2016-08-01,2016-09-01
916,SPD Smith,2,2,2,2,0,0.0,2,,1.0,,Australia,2016-08-01,2016-09-01
917,JP Faulkner,4,4,1,1,0,0.0,1,,0.25,,Australia,2016-08-01,2016-09-01
918,JR Hazlewood,2,2,1,1,0,0.0,1,,0.5,,Australia,2016-08-01,2016-09-01
919,MC Henriques,2,2,1,1,0,0.0,1,,0.5,,Australia,2016-08-01,2016-09-01
920,A Zampa,4,4,1,1,0,0.0,1,,0.25,,Australia,2016-08-01,2016-09-01
921,SM Boland,1,1,0,0,0,0.0,0,0.0,0.0,,Australia,2016-08-01,2016-09-01
922,JW Hastings,2,2,0,0,0,0.0,0,0.0,0.0,,Australia,2016-08-01,2016-09-01
923,UT Khawaja,1,1,0,0,0,0.0,0,0.0,0.0,,Australia,2016-08-01,2016-09-01
924,NM Lyon,1,1,0,0,0,0.0,0,0.0,0.0,,Australia,2016-08-01,2016-09-01
925,MA Starc,4,4,0,0,0,0.0,0,0.0,0.0,,Australia,2016-08-01,2016-09-01
926,Sarfaraz Ahmed,3,3,3,3,0,3.0,0,,1.0,,Pakistan,2016-09-01,2016-10-01
927,Imad Wasim,3,3,2,2,0,0.0,2,,0.666,,Pakistan,2016-09-01,2016-10-01
928,Mohammad Rizwan,3,3,2,2,0,0.0,2,,0.666,,Pakistan,2016-09-01,2016-10-01
929,Sharjeel Khan,3,3,2,2,0,0.0,2,,0.666,,Pakistan,2016-09-01,2016-10-01
930,Umar Gul,2,2,2,2,0,0.0,2,,1.0,,Pakistan,2016-09-01,2016-10-01
931,Azhar Ali,3,3,1,1,0,0.0,1,,0.333,,Pakistan,2016-09-01,2016-10-01
932,Babar Azam,3,3,1,1,0,0.0,1,,0.333,,Pakistan,2016-09-01,2016-10-01
933,Hasan Ali,3,3,1,1,0,0.0,1,,0.333,,Pakistan,2016-09-01,2016-10-01
934,Mohammad Irfan,1,1,1,1,0,0.0,1,,1.0,,Pakistan,2016-09-01,2016-10-01
935,Mohammad Nawaz (3),3,3,1,1,0,0.0,1,,0.333,,Pakistan,2016-09-01,2016-10-01
936,Shoaib Malik,2,2,1,1,0,0.0,1,,0.5,,Pakistan,2016-09-01,2016-10-01
937,Mohammad Amir,2,2,0,0,0,0.0,0,0.0,0.0,,Pakistan,2016-09-01,2016-10-01
938,Sami Aslam,1,1,0,0,0,0.0,0,0.0,0.0,,Pakistan,2016-09-01,2016-10-01
939,Wahab Riaz,1,1,0,0,0,0.0,0,0.0,0.0,,Pakistan,2016-09-01,2016-10-01
940,Sabbir Rahman,3,3,5,5,0,0.0,5,,1.666,,Bangladesh,2016-09-01,2016-10-01
941,Mushfiqur Rahim,3,3,4,3,1,3.0,0,,1.333,,Bangladesh,2016-09-01,2016-10-01
942,Mahmudullah,3,3,1,1,0,0.0,1,,0.333,,Bangladesh,2016-09-01,2016-10-01
943,Mosaddek Hossain,2,2,1,1,0,0.0,1,,0.5,,Bangladesh,2016-09-01,2016-10-01
944,Mosharraf Hossain,1,1,1,1,0,0.0,1,,1.0,,Bangladesh,2016-09-01,2016-10-01
945,Soumya Sarkar,3,3,1,1,0,0.0,1,,0.333,,Bangladesh,2016-09-01,2016-10-01
946,Taijul Islam,2,2,1,1,0,0.0,1,,0.5,,Bangladesh,2016-09-01,2016-10-01
947,Tamim Iqbal,3,3,1,1,0,0.0,1,,0.333,,Bangladesh,2016-09-01,2016-10-01
948,Taskin Ahmed,3,3,1,1,0,0.0,1,,0.333,,Bangladesh,2016-09-01,2016-10-01
949,Imrul Kayes,1,1,0,0,0,0.0,0,0.0,0.0,,Bangladesh,2016-09-01,2016-10-01
950,Mashrafe Mortaza,3,3,0,0,0,0.0,0,0.0,0.0,,Bangladesh,2016-09-01,2016-10-01
951,Rubel Hossain,2,2,0,0,0,0.0,0,0.0,0.0,,Bangladesh,2016-09-01,2016-10-01
952,Shafiul Islam,1,1,0,0,0,0.0,0,0.0,0.0,,Bangladesh,2016-09-01,2016-10-01
953,Shakib Al Hasan,3,3,0,0,0,0.0,0,0.0,0.0,,Bangladesh,2016-09-01,2016-10-01
954,JM Bairstow,2,2,2,1,1,1.0,0,,1.0,,England,2016-09-01,2016-10-01
955,LE Plunkett,1,1,2,2,0,0.0,2,,2.0,,England,2016-09-01,2016-10-01
956,BA Stokes,2,2,2,2,0,0.0,2,,1.0,,England,2016-09-01,2016-10-01
957,AD Hales,2,2,1,1,0,0.0,1,,0.5,,England,2016-09-01,2016-10-01
958,JE Root,2,2,1,1,0,0.0,1,,0.5,,England,2016-09-01,2016-10-01
959,JJ Roy,2,2,1,1,0,0.0,1,,0.5,,England,2016-09-01,2016-10-01
960,DJ Willey,2,2,1,1,0,0.0,1,,0.5,,England,2016-09-01,2016-10-01
961,MA Wood,1,1,1,1,0,0.0,1,,1.0,,England,2016-09-01,2016-10-01
962,MM Ali,1,1,0,0,0,0.0,0,0.0,0.0,,England,2016-09-01,2016-10-01
963,LA Dawson,1,1,0,0,0,0.0,0,0.0,0.0,,England,2016-09-01,2016-10-01
964,CJ Jordan,2,2,0,0,0,0.0,0,0.0,0.0,,England,2016-09-01,2016-10-01
965,EJG Morgan,2,2,0,0,0,0.0,0,0.0,0.0,,England,2016-09-01,2016-10-01
966,AU Rashid,1,1,0,0,0,0.0,0,0.0,0.0,,England,2016-09-01,2016-10-01
967,CR Woakes,1,1,0,0,0,0.0,0,0.0,0.0,,England,2016-09-01,2016-10-01
968,MS Wade,3,3,3,3,0,3.0,0,,1.0,,Australia,2016-09-01,2016-10-01
969,GJ Bailey,3,3,2,2,0,0.0,2,,0.666,,Australia,2016-09-01,2016-10-01
970,TM Head,3,3,2,2,0,0.0,2,,0.666,,Australia,2016-09-01,2016-10-01
971,A Zampa,3,3,2,2,0,0.0,2,,0.666,,Australia,2016-09-01,2016-10-01
972,JP Faulkner,1,1,1,1,0,0.0,1,,1.0,,Australia,2016-09-01,2016-10-01
973,MA Starc,1,1,1,1,0,0.0,1,,1.0,,Australia,2016-09-01,2016-10-01
974,SM Boland,3,3,0,0,0,0.0,0,0.0,0.0,,Australia,2016-09-01,2016-10-01
975,AJ Finch,2,2,0,0,0,0.0,0,0.0,0.0,,Australia,2016-09-01,2016-10-01
976,JW Hastings,3,3,0,0,0,0.0,0,0.0,0.0,,Australia,2016-09-01,2016-10-01
977,UT Khawaja,2,2,0,0,0,0.0,0,0.0,0.0,,Australia,2016-09-01,2016-10-01
978,MR Marsh,2,2,0,0,0,0.0,0,0.0,0.0,,Australia,2016-09-01,2016-10-01
979,SPD Smith,2,2,0,0,0,0.0,0,0.0,0.0,,Australia,2016-09-01,2016-10-01
980,DA Warner,3,3,0,0,0,0.0,0,0.0,0.0,,Australia,2016-09-01,2016-10-01
981,DJ Worrall,2,2,0,0,0,0.0,0,0.0,0.0,,Australia,2016-09-01,2016-10-01
982,Mohammad Shahzad,3,3,3,2,1,2.0,0,,1.0,,Afghanistan,2016-09-01,2016-10-01
983,Dawlat Zadran,3,3,2,2,0,0.0,2,,0.666,,Afghanistan,2016-09-01,2016-10-01
984,Najibullah Zadran,3,3,2,2,0,0.0,2,,0.666,,Afghanistan,2016-09-01,2016-10-01
985,Naveen-ul-Haq,2,2,2,2,0,0.0,2,,1.0,,Afghanistan,2016-09-01,2016-10-01
986,Nawroz Mangal,2,2,2,2,0,0.0,2,,1.0,,Afghanistan,2016-09-01,2016-10-01
987,Hashmatullah Shahidi,3,3,1,1,0,0.0,1,,0.333,,Afghanistan,2016-09-01,2016-10-01
988,Mirwais Ashraf,3,3,1,1,0,0.0,1,,0.333,,Afghanistan,2016-09-01,2016-10-01
989,Rahmat Shah,3,3,1,1,0,0.0,1,,0.333,,Afghanistan,2016-09-01,2016-10-01
990,Rashid Khan,3,3,1,1,0,0.0,1,,0.333,,Afghanistan,2016-09-01,2016-10-01
991,Shabir Noori,1,1,1,1,0,0.0,1,,1.0,,Afghanistan,2016-09-01,2016-10-01
992,Asghar Afghan,3,3,0,0,0,0.0,0,0.0,0.0,,Afghanistan,2016-09-01,2016-10-01
993,Mohammad Nabi,3,3,0,0,0,0.0,0,0.0,0.0,,Afghanistan,2016-09-01,2016-10-01
994,Samiullah Shinwari,1,1,0,0,0,0.0,0,0.0,0.0,,Afghanistan,2016-09-01,2016-10-01
995,Q de Kock,2,2,3,2,1,2.0,0,,1.5,,South Africa,2016-09-01,2016-10-01
996,DA Miller,2,2,3,3,0,0.0,3,,1.5,,South Africa,2016-09-01,2016-10-01
997,WD Parnell,2,2,2,2,0,0.0,2,,1.0,,South Africa,2016-09-01,2016-10-01
998,T Bavuma,1,1,1,1,0,0.0,1,,1.0,,South Africa,2016-09-01,2016-10-01
999,F Behardien,2,2,1,1,0,0.0,1,,0.5,,South Africa,2016-09-01,2016-10-01
1000,AM Phangiso,1,1,1,1,0,0.0,1,,1.0,,South Africa,2016-09-01,2016-10-01
1001,AL Phehlukwayo,2,2,1,1,0,0.0,1,,0.5,,South Africa,2016-09-01,2016-10-01
1002,K Rabada,2,2,1,1,0,0.0,1,,0.5,,South Africa,2016-09-01,2016-10-01
1003,JP Duminy,2,2,0,0,0,0.0,0,0.0,0.0,,South Africa,2016-09-01,2016-10-01
1004,F du Plessis,2,2,0,0,0,0.0,0,0.0,0.0,,South Africa,2016-09-01,2016-10-01
1005,Imran Tahir,1,1,0,0,0,0.0,0,0.0,0.0,,South Africa,2016-09-01,2016-10-01
1006,D Pretorius,1,1,0,0,0,0.0,0,0.0,0.0,,South Africa,2016-09-01,2016-10-01
1007,RR Rossouw,1,1,0,0,0,0.0,0,0.0,0.0,,South Africa,2016-09-01,2016-10-01
1008,DW Steyn,1,1,0,0,0,0.0,0,0.0,0.0,,South Africa,2016-09-01,2016-10-01
1009,MS Dhoni,5,5,9,6,3,6.0,0,,1.8,,India,2016-10-01,2016-11-01
1010,AM Rahane,5,5,5,5,0,0.0,5,,1.0,,India,2016-10-01,2016-11-01
1011,KM Jadhav,5,5,3,3,0,0.0,3,,0.6,,India,2016-10-01,2016-11-01
1012,RG Sharma,5,5,3,3,0,0.0,3,,0.6,,India,2016-10-01,2016-11-01
1013,V Kohli,5,5,2,2,0,0.0,2,,0.4,,India,2016-10-01,2016-11-01
1014,HH Pandya,4,4,2,2,0,0.0,2,,0.5,,India,2016-10-01,2016-11-01
1015,UT Yadav,5,5,2,2,0,0.0,2,,0.4,,India,2016-10-01,2016-11-01
1016,A Mishra,5,5,1,1,0,0.0,1,,0.2,,India,2016-10-01,2016-11-01
1017,MK Pandey,5,5,1,1,0,0.0,1,,0.2,,India,2016-10-01,2016-11-01
1018,AR Patel,5,5,1,1,0,0.0,1,,0.2,,India,2016-10-01,2016-11-01
1019,J Yadav,1,1,1,1,0,0.0,1,,1.0,,India,2016-10-01,2016-11-01
1020,JJ Bumrah,4,4,0,0,0,0.0,0,0.0,0.0,,India,2016-10-01,2016-11-01
1021,DS Kulkarni,1,1,0,0,0,0.0,0,0.0,0.0,,India,2016-10-01,2016-11-01
1022,Shoaib Malik,2,2,3,3,0,0.0,3,,1.5,,Pakistan,2016-10-01,2016-11-01
1023,Sarfaraz Ahmed,2,2,2,1,1,1.0,0,,1.0,,Pakistan,2016-10-01,2016-11-01
1024,Imad Wasim,2,2,1,1,0,0.0,1,,0.5,,Pakistan,2016-10-01,2016-11-01
1025,Sohail Khan,1,1,1,1,0,0.0,1,,1.0,,Pakistan,2016-10-01,2016-11-01
1026,Azhar Ali,2,2,0,0,0,0.0,0,0.0,0.0,,Pakistan,2016-10-01,2016-11-01
1027,Babar Azam,2,2,0,0,0,0.0,0,0.0,0.0,,Pakistan,2016-10-01,2016-11-01
1028,Hasan Ali,2,2,0,0,0,0.0,0,0.0,0.0,,Pakistan,2016-10-01,2016-11-01
1029,Mohammad Amir,1,1,0,0,0,0.0,0,0.0,0.0,,Pakistan,2016-10-01,2016-11-01
1030,Mohammad Nawaz (3),2,2,0,0,0,0.0,0,0.0,0.0,,Pakistan,2016-10-01,2016-11-01
1031,Mohammad Rizwan,2,2,0,0,0,0.0,0,0.0,0.0,,Pakistan,2016-10-01,2016-11-01
1032,Sharjeel Khan,2,2,0,0,0,0.0,0,0.0,0.0,,Pakistan,2016-10-01,2016-11-01
1033,Wahab Riaz,2,2,0,0,0,0.0,0,0.0,0.0,,Pakistan,2016-10-01,2016-11-01
1034,Mushfiqur Rahim,4,4,4,4,0,4.0,0,,1.0,,Bangladesh,2016-10-01,2016-11-01
1035,Sabbir Rahman,4,4,4,4,0,0.0,4,,1.0,,Bangladesh,2016-10-01,2016-11-01
1036,Mosaddek Hossain,4,4,2,2,0,0.0,2,,0.5,,Bangladesh,2016-10-01,2016-11-01
1037,Tamim Iqbal,4,4,2,2,0,0.0,2,,0.5,,Bangladesh,2016-10-01,2016-11-01
1038,Imrul Kayes,3,3,1,1,0,0.0,1,,0.333,,Bangladesh,2016-10-01,2016-11-01
1039,Mahmudullah,4,4,1,1,0,0.0,1,,0.25,,Bangladesh,2016-10-01,2016-11-01
1040,Mashrafe Mortaza,4,4,1,1,0,0.0,1,,0.25,,Bangladesh,2016-10-01,2016-11-01
1041,Mosharraf Hossain,2,2,1,1,0,0.0,1,,0.5,,Bangladesh,2016-10-01,2016-11-01
1042,Nasir Hossain,2,2,1,1,0,0.0,1,,0.5,,Bangladesh,2016-10-01,2016-11-01
1043,Shakib Al Hasan,4,4,1,1,0,0.0,1,,0.25,,Bangladesh,2016-10-01,2016-11-01
1044,Shafiul Islam,4,4,0,0,0,0.0,0,0.0,0.0,,Bangladesh,2016-10-01,2016-11-01
1045,Soumya Sarkar,1,1,0,0,0,0.0,0,0.0,0.0,,Bangladesh,2016-10-01,2016-11-01
1046,Taskin Ahmed,4,4,0,0,0,0.0,0,0.0,0.0,,Bangladesh,2016-10-01,2016-11-01
1047,L Ronchi,3,3,4,4,0,4.0,0,,1.333,,New Zealand,2016-10-01,2016-11-01
1048,TWM Latham,5,5,3,3,0,0.0,3,,0.6,,New Zealand,2016-10-01,2016-11-01
1049,MJ Santner,5,5,3,3,0,0.0,3,,0.6,,New Zealand,2016-10-01,2016-11-01
1050,LRPL Taylor,5,5,2,2,0,0.0,2,,0.4,,New Zealand,2016-10-01,2016-11-01
1051,BJ Watling,2,2,2,2,0,2.0,0,,1.0,,New Zealand,2016-10-01,2016-11-01
1052,CJ Anderson,4,4,1,1,0,0.0,1,,0.25,,New Zealand,2016-10-01,2016-11-01
1053,TA Boult,4,4,1,1,0,0.0,1,,0.25,,New Zealand,2016-10-01,2016-11-01
1054,MJ Guptill,5,5,1,1,0,0.0,1,,0.2,,New Zealand,2016-10-01,2016-11-01
1055,JDS Neesham,4,4,1,1,0,0.0,1,,0.25,,New Zealand,2016-10-01,2016-11-01
1056,TG Southee,5,5,1,1,0,0.0,1,,0.2,,New Zealand,2016-10-01,2016-11-01
1057,KS Williamson,5,5,1,1,0,0.0,1,,0.2,,New Zealand,2016-10-01,2016-11-01
1058,DAJ Bracewell,1,1,0,0,0,0.0,0,0.0,0.0,,New Zealand,2016-10-01,2016-11-01
1059,AP Devcich,2,2,0,0,0,0.0,0,0.0,0.0,,New Zealand,2016-10-01,2016-11-01
1060,MJ Henry,2,2,0,0,0,0.0,0,0.0,0.0,,New Zealand,2016-10-01,2016-11-01
1061,IS Sodhi,3,3,0,0,0,0.0,0,0.0,0.0,,New Zealand,2016-10-01,2016-11-01
1062,JC Buttler,3,3,6,4,2,4.0,0,,2.0,,England,2016-10-01,2016-11-01
1063,MM Ali,3,3,3,3,0,0.0,3,,1.0,,England,2016-10-01,2016-11-01
1064,JM Vince,3,3,3,3,0,0.0,3,,1.0,,England,2016-10-01,2016-11-01
1065,DJ Willey,2,2,3,3,0,0.0,3,,1.5,,England,2016-10-01,2016-11-01
1066,JM Bairstow,3,3,1,1,0,0.0,1,,0.333,,England,2016-10-01,2016-11-01
1067,JT Ball,3,3,0,0,0,0.0,0,0.0,0.0,,England,2016-10-01,2016-11-01
1068,SW Billings,1,1,0,0,0,0.0,0,0.0,0.0,,England,2016-10-01,2016-11-01
1069,BM Duckett,3,3,0,0,0,0.0,0,0.0,0.0,,England,2016-10-01,2016-11-01
1070,LE Plunkett,1,1,0,0,0,0.0,0,0.0,0.0,,England,2016-10-01,2016-11-01
1071,AU Rashid,3,3,0,0,0,0.0,0,0.0,0.0,,England,2016-10-01,2016-11-01
1072,JJ Roy,2,2,0,0,0,0.0,0,0.0,0.0,,England,2016-10-01,2016-11-01
1073,BA Stokes,3,3,0,0,0,0.0,0,0.0,0.0,,England,2016-10-01,2016-11-01
1074,CR Woakes,3,3,0,0,0,0.0,0,0.0,0.0,,England,2016-10-01,2016-11-01
1075,MR Marsh,4,4,3,3,0,0.0,3,,0.75,,Australia,2016-10-01,2016-11-01
1076,DA Warner,4,4,3,3,0,0.0,3,,0.75,,Australia,2016-10-01,2016-11-01
1077,SPD Smith,4,4,2,2,0,0.0,2,,0.5,,Australia,2016-10-01,2016-11-01
1078,A Zampa,4,4,2,2,0,0.0,2,,0.5,,Australia,2016-10-01,2016-11-01
1079,GJ Bailey,4,4,1,1,0,0.0,1,,0.25,,Australia,2016-10-01,2016-11-01
1080,AJ Finch,4,4,1,1,0,0.0,1,,0.25,,Australia,2016-10-01,2016-11-01
1081,TM Head,4,4,1,1,0,0.0,1,,0.25,,Australia,2016-10-01,2016-11-01
1082,CP Tremain,4,4,1,1,0,0.0,1,,0.25,,Australia,2016-10-01,2016-11-01
1083,MS Wade,4,4,1,1,0,1.0,0,,0.25,,Australia,2016-10-01,2016-11-01
1084,DJ Worrall,1,1,1,1,0,0.0,1,,1.0,,Australia,2016-10-01,2016-11-01
1085,SM Boland,2,2,0,0,0,0.0,0,0.0,0.0,,Australia,2016-10-01,2016-11-01
1086,JW Hastings,3,3,0,0,0,0.0,0,0.0,0.0,,Australia,2016-10-01,2016-11-01
1087,JM Mennie,2,2,0,0,0,0.0,0,0.0,0.0,,Australia,2016-10-01,2016-11-01
1088,Mohammad Shahzad,1,1,3,2,1,2.0,0,,3.0,,Afghanistan,2016-10-01,2016-11-01
1089,Nawroz Mangal,1,1,2,2,0,0.0,2,,2.0,,Afghanistan,2016-10-01,2016-11-01
1090,Najibullah Zadran,1,1,1,1,0,0.0,1,,1.0,,Afghanistan,2016-10-01,2016-11-01
1091,Asghar Afghan,1,1,0,0,0,0.0,0,0.0,0.0,,Afghanistan,2016-10-01,2016-11-01
1092,Dawlat Zadran,1,1,0,0,0,0.0,0,0.0,0.0,,Afghanistan,2016-10-01,2016-11-01
1093,Hashmatullah Shahidi,1,1,0,0,0,0.0,0,0.0,0.0,,Afghanistan,2016-10-01,2016-11-01
1094,Mirwais Ashraf,1,1,0,0,0,0.0,0,0.0,0.0,,Afghanistan,2016-10-01,2016-11-01
1095,Mohammad Nabi,1,1,0,0,0,0.0,0,0.0,0.0,,Afghanistan,2016-10-01,2016-11-01
1096,Rahmat Shah,1,1,0,0,0,0.0,0,0.0,0.0,,Afghanistan,2016-10-01,2016-11-01
1097,Rashid Khan,1,1,0,0,0,0.0,0,0.0,0.0,,Afghanistan,2016-10-01,2016-11-01
1098,Samiullah Shinwari,1,1,0,0,0,0.0,0,0.0,0.0,,Afghanistan,2016-10-01,2016-11-01
1099,Q de Kock,4,4,5,5,0,5.0,0,,1.25,,South Africa,2016-10-01,2016-11-01
1100,DA Miller,3,3,4,4,0,0.0,4,,1.333,,South Africa,2016-10-01,2016-11-01
1101,JP Duminy,4,4,2,2,0,0.0,2,,0.5,,South Africa,2016-10-01,2016-11-01
1102,K Rabada,3,3,2,2,0,0.0,2,,0.666,,South Africa,2016-10-01,2016-11-01
1103,F Behardien,2,2,1,1,0,0.0,1,,0.5,,South Africa,2016-10-01,2016-11-01
1104,F du Plessis,4,4,1,1,0,0.0,1,,0.25,,South Africa,2016-10-01,2016-11-01
1105,KJ Abbott,2,2,0,0,0,0.0,0,0.0,0.0,,South Africa,2016-10-01,2016-11-01
1106,HM Amla,3,3,0,0,0,0.0,0,0.0,0.0,,South Africa,2016-10-01,2016-11-01
1107,Imran Tahir,3,3,0,0,0,0.0,0,0.0,0.0,,South Africa,2016-10-01,2016-11-01
1108,WD Parnell,1,1,0,0,0,0.0,0,0.0,0.0,,South Africa,2016-10-01,2016-11-01
1109,AM Phangiso,1,1,0,0,0,0.0,0,0.0,0.0,,South Africa,2016-10-01,2016-11-01
1110,AL Phehlukwayo,4,4,0,0,0,0.0,0,0.0,0.0,,South Africa,2016-10-01,2016-11-01
1111,D Pretorius,2,2,0,0,0,0.0,0,0.0,0.0,,South Africa,2016-10-01,2016-11-01
1112,RR Rossouw,4,4,0,0,0,0.0,0,0.0,0.0,,South Africa,2016-10-01,2016-11-01
1113,T Shamsi,1,1,0,0,0,0.0,0,0.0,0.0,,South Africa,2016-10-01,2016-11-01
1114,DW Steyn,3,3,0,0,0,0.0,0,0.0,0.0,,South Africa,2016-10-01,2016-11-01
1115,Nurul Hasan,2,2,3,2,1,2.0,0,,1.5,,Bangladesh,2016-12-01,2017-01-01
1116,Mashrafe Mortaza,3,3,2,2,0,0.0,2,,0.666,,Bangladesh,2016-12-01,2017-01-01
1117,Mushfiqur Rahim,1,1,2,2,0,2.0,0,,2.0,,Bangladesh,2016-12-01,2017-01-01
1118,Shakib Al Hasan,3,3,1,1,0,0.0,1,,0.333,,Bangladesh,2016-12-01,2017-01-01
1119,Soumya Sarkar,1,1,1,1,0,0.0,1,,1.0,,Bangladesh,2016-12-01,2017-01-01
1120,Tanbir Hayder,2,2,1,1,0,0.0,1,,0.5,,Bangladesh,2016-12-01,2017-01-01
1121,Taskin Ahmed,3,3,1,1,0,0.0,1,,0.333,,Bangladesh,2016-12-01,2017-01-01
1122,Imrul Kayes,3,3,0,0,0,0.0,0,0.0,0.0,,Bangladesh,2016-12-01,2017-01-01
1123,Mahmudullah,3,3,0,0,0,0.0,0,0.0,0.0,,Bangladesh,2016-12-01,2017-01-01
1124,Mosaddek Hossain,3,3,0,0,0,0.0,0,0.0,0.0,,Bangladesh,2016-12-01,2017-01-01
1125,Mustafizur Rahman,2,2,0,0,0,0.0,0,0.0,0.0,,Bangladesh,2016-12-01,2017-01-01
1126,Sabbir Rahman,3,3,0,0,0,0.0,0,0.0,0.0,,Bangladesh,2016-12-01,2017-01-01
1127,Subashis Roy,1,1,0,0,0,0.0,0,0.0,0.0,,Bangladesh,2016-12-01,2017-01-01
1128,Tamim Iqbal,3,3,0,0,0,0.0,0,0.0,0.0,,Bangladesh,2016-12-01,2017-01-01
